,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1142,VA,Shenandoah County,16565,998054,1132,58619,1189,61418,57,0.344
1378,WI,Lafayette County,6488,376987,382,15934,390,16646,8,0.12300000000000001
2944,SD,Hand County,1287,76682,66,3116,31,1367,-35,-2.72
2053,AL,Mobile County,134470,8190194,6050,308523,5384,249109,-666,-0.495
2676,AR,Miller County,13161,709743,1330,50129,1154,42971,-176,-1.337
90,GA,Dawson County,7642,561388,873,44937,1112,75585,239,3.127
1415,KY,Daviess County,35825,2241060,1636,79669,1666,76280,30,0.084
2755,MO,Buchanan County,30116,1758676,2191,107181,1721,68515,-470,-1.561
155,TX,Hunt County,29303,1721204,2690,123296,3432,173862,742,2.532
1721,NJ,Hunterdon County,49911,7333334,3435,475423,3335,315983,-100,-0.2
2701,KY,Breathitt County,3582,155271,153,5246,103,3918,-50,-1.396
723,NV,Pershing County,1523,89418,132,7111,145,5868,13,0.8540000000000001
2261,KS,Woodson County,1156,49714,56,1963,48,1651,-8,-0.6920000000000001
37,TX,Blanco County,4070,335384,312,13270,474,49058,162,3.98
58,NC,Franklin County,20816,1190082,1728,84668,2442,128762,714,3.43
2740,MS,Scott County,9028,392542,545,19350,409,13778,-136,-1.506
1539,IA,Linn County,85638,6763789,4768,346197,4750,245263,-18,-0.021
2121,KS,Elk County,877,37647,50,2118,45,1670,-5,-0.57
1275,KY,Mercer County,7702,412319,512,21718,528,22477,16,0.20800000000000002
1195,GA,Chatham County,92292,6463149,9683,493564,9949,516450,266,0.28800000000000003
2566,TX,Wheeler County,1724,98924,123,5072,104,5107,-19,-1.102
2626,NM,Quay County,2712,98358,175,7123,142,4377,-33,-1.217
1100,IL,Johnson County,3938,222997,244,10686,259,18960,15,0.381
447,WI,Door County,12869,893952,691,41937,865,69360,174,1.3519999999999999
288,NC,Union County,73743,7189462,5304,417851,6665,657435,1361,1.8459999999999999
656,VA,Rockbridge County,8019,499380,578,29220,656,35611,78,0.973
885,CA,San Joaquin County,244304,16385896,13440,768131,15000,895331,1560,0.639
821,PA,Cumberland County,100036,8102192,6568,416279,7272,422643,704,0.7040000000000001
303,UT,Beaver County,2020,111672,125,5549,161,6736,36,1.7819999999999998
2137,NY,Chemung County,31594,1944783,1718,94187,1536,72355,-182,-0.5760000000000001
681,AR,Montgomery County,2458,106907,159,5721,182,10323,23,0.9359999999999999
2054,KY,Bourbon County,6859,370026,516,18831,482,17724,-34,-0.496
2403,AR,Union County,13365,855674,723,41026,609,31284,-114,-0.853
2970,ND,Divide County,908,61923,56,3263,24,1238,-32,-3.5239999999999996
2796,NY,Queens County,929526,53963786,62452,3970563,46460,2597204,-15992,-1.72
295,FL,Volusia County,196530,11358882,13728,623525,17323,991763,3595,1.829
1588,NY,Delaware County,16024,856085,1050,50177,1039,54196,-11,-0.069
151,CO,Baca County,1205,39482,32,574,63,2354,31,2.573
470,MI,Alger County,3280,188939,149,6626,192,9383,43,1.311
1226,CA,Merced County,80967,4183073,4442,197093,4658,198361,216,0.267
