State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
SD,Charles Mix County,2882,164937,156,5512,106,3557,-50,-1.735,3.2,505,671,0.0,93868
WY,Washakie County,2875,193724,180,7868,162,8388,-18,-0.626,4.2,607,697,0.0,172949
SD,Grant County,2874,182450,154,8557,120,5900,-34,-1.183,3.2,513,682,0.0,120912
TN,Trousdale County,2869,146630,284,10821,305,13203,21,0.732,3.3,867,1065,0.0,142339
IA,Worth County,2865,168314,193,6875,177,6868,-16,-0.558,2.7,508,650,8.53,103504
MO,St. Clair County,2862,120492,210,6496,188,6725,-22,-0.769,4.4,509,641,5.4,82494
WI,Pepin County,2860,186643,185,8375,203,9231,18,0.629,3.3,600,689,7.65,154336
ID,Lemhi County,2855,136056,191,6889,207,11612,16,0.56,4.5,604,718,6.925,190844
KY,Crittenden County,2849,147650,179,5951,124,4940,-55,-1.931,5.2,483,620,5.0,89184
TX,Somervell County,2846,211425,265,11385,291,19410,26,0.914,4.2,584,719,0.0,184959
KS,Thomas County,2846,164805,232,9399,198,9487,-34,-1.195,2.6,580,697,5.7,117656
MT,Valley County,2840,168267,165,7062,147,7225,-18,-0.634,3.1,572,711,6.9,148582
IA,Davis County,2838,148986,159,8299,129,6003,-30,-1.057,2.7,520,691,8.53,115228
KY,Trimble County,2827,154761,223,8149,260,10044,37,1.309,4.3,698,873,5.0,118612
MO,Ozark County,2818,108346,197,5693,207,9838,10,0.355,5.2,518,641,5.4,96471
VA,Rappahannock County,2818,245346,222,12887,200,17236,-22,-0.781,2.7,880,1171,5.75,366839
OK,Woods County,2811,191383,250,11321,145,6406,-105,-3.735,2.2,645,741,5.0,95190
MI,Oscoda County,2807,123042,208,6632,233,11444,25,0.891,6.4,571,759,4.25,90102
ND,Pembina County,2788,190407,177,10290,119,5723,-58,-2.08,3.9,586,697,2.9,87040
