State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
PA,Lancaster County,215806,15622624,9266,500024,8364,460484,-902,-0.418,3.4,842,1062,3.07,"$215,850 "
VA,Rockbridge County,8019,499380,578,29220,656,35611,78,0.973,3.0,721,837,5.75,"$201,731 "
MO,Nodaway County,6765,374290,534,21166,385,14380,-149,-2.203,2.9,529,703,5.4,"$123,794 "
NC,Gaston County,74925,4594517,5235,248777,6309,306681,1074,1.433,3.9,897,1036,5.25,"$155,531 "
OR,Linn County,42579,2530422,3159,139757,4078,203202,919,2.158,4.7,717,953,9.9,"$237,695 "
NH,Hillsborough County,167702,15064886,11580,863493,11713,780878,133,0.079,2.6,992,1310,0.0,"$301,976 "
MO,Marion County,9882,553978,680,25907,645,27246,-35,-0.354,3.1,546,687,5.4,"$119,275 "
MO,Shannon County,2370,87570,168,4804,153,4809,-15,-0.633,5.0,482,641,5.4,"$106,559 "
ME,Sagadahoc County,14591,1018294,1217,68029,1405,76811,188,1.288,2.7,831,954,7.15,"$214,430 "
KY,Knox County,8363,362230,628,21572,587,18856,-41,-0.49,6.2,524,620,5.0,"$81,067 "
MA,Essex County,313172,31622947,17101,1307782,15962,1260065,-1139,-0.364,3.4,1546,1894,5.05,"$436,610 "
ME,Franklin County,10371,529577,685,33849,723,36060,38,0.366,4.0,625,730,7.15,"$141,036 "
VA,Albemarle County,37574,4865173,4223,322856,4508,417727,285,0.759,2.7,1107,1271,5.75,"$357,599 "
FL,Collier County,141277,20859061,10536,966864,12321,2727095,1785,1.263,3.4,1062,1300,0.0,"$384,575 "
NC,Alleghany County,3690,199759,185,9808,205,10505,20,0.542,4.5,514,683,5.25,"$145,534 "
IA,Tama County,6526,378592,459,20220,378,16397,-81,-1.241,3.0,551,733,8.53,"$111,214 "
IN,Floyd County,29159,2406583,2535,137124,2831,146894,296,1.015,3.3,698,873,3.23,"$183,232 "
TX,Leon County,5717,303052,423,19081,504,29540,81,1.417,5.0,550,697,0.0,"$109,880 "
AR,Grant County,5670,372460,395,16115,430,18874,35,0.617,3.1,643,738,6.9,"$125,191 "
MN,Ramsey County,204761,16286652,21241,1239206,20245,1144842,-996,-0.486,2.7,923,1164,9.85,"$252,295 "
KS,Wallace County,565,29576,-1,-1,-1,-1,0,0.0,2.6,607,697,5.7,"$91,132 "
MS,Jones County,20777,1114408,1125,40828,1110,42570,-15,-0.072,4.8,629,803,5.0,"$89,691 "
CO,Conejos County,2374,100926,163,6645,120,4579,-43,-1.811,4.4,604,697,4.63,"$126,316 "
ME,Knox County,16269,1061882,968,48161,1002,73722,34,0.209,3.2,754,955,7.15,"$206,536 "
VA,Russell County,7891,389487,388,15289,372,15662,-16,-0.203,4.3,596,684,5.75,"$97,080 "
TX,Gillespie County,10389,963216,711,49583,865,77091,154,1.482,2.5,775,1031,0.0,"$289,898 "
MA,Worcester County,319756,27046242,15631,1159915,14806,949727,-825,-0.258,3.5,1015,1284,5.05,"$304,539 "
VT,Windsor County,24027,1684536,1797,100846,1865,125704,68,0.283,2.3,916,1115,8.75,"$226,011 "
MS,Franklin County,2508,143591,134,5412,144,7006,10,0.399,6.0,528,661,5.0,"$77,188 "
ND,Burleigh County,36303,3208311,2770,158312,2510,132546,-260,-0.716,2.6,701,921,2.9,"$269,916 "
UT,San Juan County,3417,167736,325,13925,358,14431,33,0.966,6.2,609,699,4.95,"$149,731 "
VT,Lamoille County,10761,797328,805,55096,825,44997,20,0.186,3.5,893,1067,8.75,"$235,311 "
SC,Bamberg County,4133,183039,267,9369,224,8598,-43,-1.04,6.5,546,726,7.0,"$70,108 "
IL,Carroll County,6055,353887,325,13669,302,15504,-23,-0.38,4.5,542,721,4.95,"$101,552 "
NM,Valencia County,23866,1194664,1478,64182,1706,71704,228,0.955,5.5,760,938,4.9,"$136,590 "
WA,Garfield County,718,39004,53,2640,62,2802,9,1.253,5.8,571,698,0.0,"$160,790 "
GA,Candler County,3033,135326,227,7667,277,19193,50,1.649,3.4,495,659,5.75,"$94,304 "
NH,Grafton County,34672,3202363,3249,213787,3169,223098,-80,-0.231,2.1,885,1144,0.0,"$232,826 "
NH,Coos County,11832,618605,686,29568,844,45447,158,1.335,3.2,731,840,0.0,"$132,002 "
AL,Henry County,5423,369684,403,15874,441,18723,38,0.701,4.4,586,673,5.0,"$120,037 "
ME,York County,84439,5840835,5206,290171,6274,400274,1068,1.265,3.0,844,1031,7.15,"$266,694 "
GA,Bacon County,3142,153666,187,5131,176,6209,-11,-0.35,3.8,520,659,5.75,"$77,912 "
MA,Middlesex County,624151,86407105,48934,4974179,43495,3823209,-5439,-0.871,2.7,1546,1894,5.05,"$550,958 "
FL,Lafayette County,1899,87460,152,4843,138,5136,-14,-0.737,3.2,597,686,0.0,"$109,784 "
MO,Dallas County,5114,219918,446,16680,482,17236,36,0.704,3.9,517,683,5.4,"$113,995 "
PA,Northampton County,120678,9315273,7762,464493,8085,506568,323,0.268,4.4,877,1115,3.07,"$226,849 "
VA,Franklin County,19320,1165143,1163,67251,1147,88055,-16,-0.083,3.1,577,767,5.75,"$183,998 "
VT,Chittenden County,67272,5835074,5157,305322,4426,275094,-731,-1.087,2.1,1184,1523,8.75,"$309,038 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
ME,Hancock County,22033,1380564,1201,72453,1433,89567,232,1.053,3.8,740,907,7.15,"$214,504 "
CA,Butte County,72701,4697236,6247,304738,4652,235372,-1595,-2.194,5.0,834,1055,12.3,"$290,347 "
MI,St. Joseph County,22114,1220647,1323,57071,1263,58184,-60,-0.271,3.7,580,772,4.25,"$120,136 "
OK,Major County,2574,175714,172,9129,114,6100,-58,-2.253,2.1,549,730,5.0,"$96,110 "
NC,Stokes County,15719,853929,1020,40995,1069,46514,49,0.312,3.6,637,792,5.25,"$134,923 "
AL,Tuscaloosa County,63351,4196259,3914,184222,3686,187622,-228,-0.36,3.7,704,859,5.0,"$175,740 "
ME,Washington County,11220,507701,510,20773,625,34978,115,1.025,4.9,657,809,7.15,"$113,822 "
KY,Warren County,41112,2672742,3126,141246,3037,128752,-89,-0.216,3.7,644,818,5.0,"$177,121 "
UT,Emery County,2995,170547,170,8303,159,6497,-11,-0.367,4.8,607,697,4.95,"$149,293 "
CT,Tolland County,53725,5035226,4538,320545,4270,258702,-268,-0.499,3.6,997,1242,6.99,"$250,686 "
TX,Clay County,3506,208308,275,13159,312,15006,37,1.055,3.2,659,851,0.0,"$89,678 "
GA,Terrell County,2929,127622,222,6720,185,6893,-37,-1.263,6.6,630,766,5.75,"$88,177 "
TX,Reagan County,1092,84244,85,4862,87,4052,2,0.183,2.5,690,792,0.0,"$94,950 "
ME,Penobscot County,54471,3239598,3068,148356,3002,139529,-66,-0.121,3.8,668,870,7.15,"$143,831 "
GA,Harris County,10892,870382,929,57762,1187,108736,258,2.369,3.4,742,891,5.75,"$203,541 "
OH,Champaign County,14705,824621,1033,42167,974,42227,-59,-0.401,3.8,576,733,4.997,"$135,995 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
TX,Hemphill County,1242,94991,89,4733,48,2410,-41,-3.301,2.1,607,697,0.0,"$140,384 "
FL,Duval County,344842,22418910,26620,1543259,28682,1636159,2062,0.598,3.6,829,1014,0.0,"$206,726 "
WI,Wood County,30483,1817839,1774,92021,1634,74636,-140,-0.459,3.5,542,721,7.65,"$145,428 "
KS,Comanche County,641,30234,27,1372,20,1062,-7,-1.092,2.5,524,697,5.7,"$75,547 "
CA,Tehama County,19635,1090007,1386,66719,1658,80518,272,1.385,5.7,646,859,12.3,"$204,370 "
VA,Wythe County,10025,507776,537,21335,538,21612,1,0.01,3.7,545,725,5.75,"$130,327 "
NH,Coos County,11832,618605,686,29568,844,45447,158,1.335,3.2,731,840,0.0,"$132,002 "
TX,La Salle County,1873,169336,115,4989,118,6935,3,0.16,2.4,625,787,0.0,"$76,046 "
KY,Larue County,4798,236835,371,13585,404,14669,33,0.688,4.4,599,797,5.0,"$112,659 "
IL,Jackson County,17009,1047522,1868,71563,1403,46889,-465,-2.734,4.6,598,753,4.95,"$110,952 "
NH,Coos County,11832,618605,686,29568,844,45447,158,1.335,3.2,731,840,0.0,"$132,002 "
MO,Holt County,1730,92967,94,3765,86,3896,-8,-0.462,2.4,482,641,5.4,"$98,467 "
ME,Lincoln County,14320,884327,928,47128,1138,74466,210,1.466,3.3,797,937,7.15,"$219,263 "
