,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1241,TX,Travis County ,431303,49131355,47553,3238771,48623,3884317,1070,0.248
1814,AL,DeKalb County ,21078,1018194,1199,47723,1139,42618,-60,-0.285
2641,AR,Drew County ,5392,303798,429,16364,362,13851,-67,-1.2429999999999999
666,GA,Chattooga County ,7167,323733,323,11470,392,15616,69,0.963
673,ME,Oxford County ,20688,1037441,1302,53318,1499,71651,197,0.9520000000000001
129,TN,Maury County ,33569,2042068,2941,149879,3860,221548,919,2.738
163,KY,Robertson County ,678,29942,36,1439,53,1988,17,2.5069999999999997
2693,VA,Fairfax County ,418618,59342138,46195,4370226,40400,3516353,-5795,-1.3840000000000001
395,ME,Lincoln County ,14320,884327,928,47128,1138,74466,210,1.466
2717,WY,Carbon County ,5280,385692,511,30348,435,20870,-76,-1.439
130,WA,Wahkiakum County ,1474,88968,98,4293,138,7042,40,2.714
2277,CA,Imperial County ,61426,2883438,2673,116467,2238,83986,-435,-0.708
965,MN,Morrison County ,12587,707442,739,34347,808,42690,69,0.5479999999999999
249,CA,Sierra County ,960,55257,70,3791,89,5479,19,1.979
2426,MN,Stevens County ,3420,241462,225,9194,195,8948,-30,-0.877
173,KY,Shelby County ,15920,1238951,1262,70155,1653,115321,391,2.456
2223,MS,Leake County ,6629,296417,421,14893,378,14321,-43,-0.649
610,VA,Cumberland County ,3338,159728,270,10796,305,12430,35,1.0490000000000002
1525,IA,Lyon County ,4218,285299,161,6966,161,7124,0,0.0
2782,AR,Prairie County ,2604,134426,173,6064,130,4795,-43,-1.651
614,WA,Grant County ,31550,1835683,1797,80163,2127,100812,330,1.046
2904,NE,Sherman County ,1167,46212,86,2903,59,2403,-27,-2.314
1400,NY,Clinton County ,30466,1798988,1151,60913,1181,56075,30,0.098
2642,CA,Sonoma County ,194193,17219249,11194,829442,8772,701383,-2422,-1.247
17,FL,Walton County ,22754,2439457,2366,234757,3451,469223,1085,4.768
605,TX,Ward County ,3603,268131,331,19883,369,18983,38,1.055
223,TX,Hill County ,11348,610192,950,38247,1190,58017,240,2.115
2735,KS,Wichita County ,813,50594,45,2072,33,1609,-12,-1.476
1181,CA,Sacramento County ,544229,39224971,31738,1974737,33378,1904425,1640,0.301
416,WA,Asotin County ,7722,512303,690,29686,799,35180,109,1.412
1109,MN,Becker County ,12484,824855,808,42514,854,47628,46,0.368
170,OK,Ellis County ,1295,76847,56,2502,88,4006,32,2.471
1877,NJ,Monmouth County ,247565,31446320,14462,1281890,13619,1388139,-843,-0.341
