State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
FL,Sarasota County,163058,15473920,12770,806970,16961,1884404,4191,2.57
OK,Marshall County,4718,239015,329,13186,449,20877,120,2.543
ID,Kootenai County,58832,3885797,3857,188472,5349,377234,1492,2.536
TX,Hunt County,29303,1721204,2690,123296,3432,173862,742,2.532
FL,Dixie County,3833,158828,281,9659,378,13557,97,2.531
OK,Pushmataha County,3123,138530,195,7085,274,10383,79,2.53
VT,Grand Isle County,3046,244679,266,17800,343,27194,77,2.528
WA,Klickitat County,7879,591239,581,33045,780,55678,199,2.526
VA,Richmond County,2776,154696,192,7054,262,12344,70,2.522
WV,Berkeley County,42602,2536510,2930,143221,4004,199336,1074,2.521
MO,Lincoln County,19947,1212458,1382,66163,1883,95398,501,2.512
KY,Robertson County,678,29942,36,1439,53,1988,17,2.507
WI,Adams County,7462,373705,571,23087,758,39089,187,2.506
TX,Sabine County,3252,180782,237,11268,318,19903,81,2.491
MT,Ravalli County,15765,968671,1123,57236,1514,107821,391,2.48
ID,Ada County,165117,13939220,11418,631146,15509,1088360,4091,2.478
TX,Chambers County,13614,1245940,1331,85244,1668,128359,337,2.475
WA,Clallam County,28802,1839111,1705,90228,2417,176996,712,2.472
OK,Ellis County,1295,76847,56,2502,88,4006,32,2.471
ID,Custer County,1504,73017,118,5268,155,9675,37,2.46
TX,Hays County,66538,5433993,8172,415538,9807,710893,1635,2.457
KY,Shelby County,15920,1238951,1262,70155,1653,115321,391,2.456
TX,Burnet County,16667,1336803,1490,96789,1898,162765,408,2.448
NC,Macon County,12404,711688,729,34349,1031,62540,302,2.435
AR,Benton County,87242,13820588,7237,511876,9356,571782,2119,2.429
MI,Crawford County,4763,224859,339,12439,454,21241,115,2.414
NC,Cabarrus County,69266,5251563,6378,370437,8033,450293,1655,2.389
AZ,La Paz County,4905,201858,487,19477,604,27028,117,2.385
TX,Collin County,321347,38127439,33175,2801762,40818,3422375,7643,2.378
GA,Harris County,10892,870382,929,57762,1187,108736,258,2.369
TN,Fayette County,14830,1197950,1192,77378,1543,125710,351,2.367
UT,Tooele County,20299,1379198,1946,103625,2425,127520,479,2.36
SC,Spartanburg County,104846,6599512,5592,275442,8065,402817,2473,2.359
TX,Montague County,6414,375967,486,20500,636,38370,150,2.339
SC,Berkeley County,69825,4641640,8591,463164,10206,622780,1615,2.313
TN,Williamson County,76424,12242435,7311,788870,9068,1159148,1757,2.299
NC,Yancey County,5968,291333,287,10895,424,21493,137,2.296
TX,Foard County,393,18187,21,750,30,1346,9,2.29
GA,Echols County,962,40301,55,1807,77,2659,22,2.287
NV,Lincoln County,1313,77372,78,3613,108,5967,30,2.285
GA,Rabun County,5693,326324,380,23856,510,48666,130,2.284
WA,Island County,31547,2472699,3691,221091,4411,277615,720,2.282
GA,Oconee County,12714,1537203,1117,85851,1407,129153,290,2.281
MI,Alcona County,3917,188310,272,10487,361,18352,89,2.272
TX,Johnson County,55426,3682538,4940,264766,6198,341215,1258,2.27
NC,Moore County,34245,2697934,2714,170905,3490,277716,776,2.266
MO,Warren County,12108,764850,984,45967,1258,65043,274,2.263
TN,Loudon County,19256,1461031,1556,90480,1991,164479,435,2.259
TX,Coke County,1064,59161,81,4025,105,6037,24,2.256
KS,Decatur County,1110,45410,39,1869,64,2181,25,2.252
WA,Skamania County,3841,315123,338,19096,424,31797,86,2.239
WA,Lewis County,27172,1605862,1792,74936,2399,123830,607,2.234
TX,Guadalupe County,54308,3777542,6078,348333,7282,446349,1204,2.217
WA,Grays Harbor County,23895,1353427,1514,72616,2041,115040,527,2.205
MT,Jefferson County,4268,319877,373,20265,467,34891,94,2.202
NC,Pender County,18454,1160332,1740,80447,2146,131305,406,2.2
MO,Benton County,6325,274766,497,16432,636,30900,139,2.198
GA,Walton County,29177,1925175,2615,147598,3256,177794,641,2.197
TN,Overton County,7063,324924,455,16473,609,27879,154,2.18
ID,Payette County,7587,507521,707,28344,871,41816,164,2.162
OR,Linn County,42579,2530422,3159,139757,4078,203202,919,2.158
MT,Deer Lodge County,3247,175351,234,9570,304,13054,70,2.156
TX,Grimes County,8616,484598,705,31756,890,47155,185,2.147
TN,Grainger County,7179,345239,508,18952,662,29360,154,2.145
TX,Winkler County,2285,295701,208,14632,257,11938,49,2.144
NC,Clay County,3591,185385,289,10913,366,19562,77,2.144
TN,Jackson County,3501,148919,274,8914,349,13808,75,2.142
