State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
ND,Golden Valley County,641,42119,-1,-1,-1,-1,0,0.0
VA,Highland County,894,40428,26,1154,26,1427,0,0.0
KS,Wallace County,565,29576,-1,-1,-1,-1,0,0.0
MT,Wibaux County,355,18800,-1,-1,-1,-1,0,0.0
NV,Mineral County,1488,71723,116,5637,116,3806,0,0.0
ND,Nelson County,1213,79363,52,1676,52,1861,0,0.0
NE,Dundy County,647,28832,-1,-1,-1,-1,0,0.0
NE,Arthur County,149,4384,-1,-1,-1,-1,0,0.0
NE,Banner County,235,9936,-1,-1,-1,-1,0,0.0
NE,Blaine County,172,5573,-1,-1,-1,-1,0,0.0
ND,Sheridan County,500,23369,22,1027,22,950,0,0.0
MT,Petroleum County,153,5881,-1,-1,-1,-1,0,0.0
NE,Keya Paha County,301,13201,-1,-1,-1,-1,0,0.0
NE,Pawnee County,996,48209,41,1706,41,1055,0,0.0
IA,Humboldt County,3598,247059,196,9110,196,9487,0,0.0
MI,Osceola County,7877,372801,657,25447,657,25326,0,0.0
MT,Carter County,482,24460,-1,-1,-1,-1,0,0.0
AR,Calhoun County,1490,83730,85,2903,85,3226,0,0.0
TX,Loving County,28,2788,-1,-1,-1,-1,0,0.0
TX,Gregg County,41650,2575835,3705,185950,3705,173707,0,0.0
IA,Ida County,2670,191511,151,6615,151,6344,0,0.0
TX,Hall County,896,39402,62,2602,62,1988,0,0.0
TX,King County,89,4088,-1,-1,-1,-1,0,0.0
SD,Stanley County,1195,87700,107,6066,107,6446,0,0.0
TX,Kenedy County,111,5121,-1,-1,-1,-1,0,0.0
IA,Lyon County,4218,285299,161,6966,161,7124,0,0.0
NY,Warren County,26650,1872000,1999,102448,1999,103801,0,0.0
MO,Greene County,100170,6532717,7757,357441,7756,370778,-1,-0.001
MT,Lake County,9848,515493,787,32389,786,44115,-1,-0.01
OH,Clark County,50092,2729496,2610,113297,2605,107490,-5,-0.01
CA,Stanislaus County,178333,11230243,9340,495180,9320,458844,-20,-0.011
KS,Pottawatomie County,8315,592820,744,40487,743,42266,-1,-0.012
CA,Lassen County,7602,480529,651,35182,650,29569,-1,-0.013
MS,Itawamba County,7251,374426,547,19028,546,18504,-1,-0.014
NM,Rio Arriba County,13065,608059,666,30024,664,27833,-2,-0.015
OH,Butler County,135030,9868136,9612,534745,9589,490133,-23,-0.017
IA,Hamilton County,5652,386420,335,16450,334,15265,-1,-0.018
SC,Sumter County,35798,1746685,2918,127137,2911,121537,-7,-0.02
CA,San Luis Obispo County,103543,8673110,6568,422982,6547,503181,-21,-0.02
IA,Linn County,85638,6763789,4768,346197,4750,245263,-18,-0.021
MO,Dent County,4687,207264,297,10119,296,11092,-1,-0.021
OH,Ross County,25923,1420423,1332,56640,1326,54199,-6,-0.023
UT,Davis County,108177,9425533,10296,617917,10270,594401,-26,-0.024
IN,Jasper County,11908,737397,800,37004,797,36462,-3,-0.025
IA,Cedar County,7063,387343,494,26138,492,23944,-2,-0.028
IN,Wells County,10567,654915,671,29122,668,27617,-3,-0.028
IN,Rush County,6267,354577,441,17157,439,18032,-2,-0.032
KY,McCracken County,23646,1632599,1577,80039,1569,73032,-8,-0.034
WV,Brooke County,8623,492575,492,20922,489,20448,-3,-0.035
MO,Randolph County,8119,429373,545,20648,542,20684,-3,-0.037
IA,Harrison County,5318,332295,302,13389,300,15248,-2,-0.038
MS,Prentiss County,7460,348772,429,14367,426,12632,-3,-0.04
OH,Meigs County,7476,371028,342,11632,339,15000,-3,-0.04
TX,San Augustine County,2507,112322,175,6160,174,10122,-1,-0.04
GA,Coffee County,11819,539041,610,21439,605,19309,-5,-0.042
MS,Panola County,11303,504460,634,23340,629,24267,-5,-0.044
OH,Van Wert County,11163,625094,623,24920,618,24492,-5,-0.045
ND,Ramsey County,4493,293826,268,11580,266,10605,-2,-0.045
DE,New Castle County,209473,17550167,11183,817252,11086,734691,-97,-0.046
AR,Pope County,19506,1166297,1351,54437,1342,60182,-9,-0.046
SD,Day County,2117,113406,102,3690,101,5022,-1,-0.047
OK,Oklahoma County,257177,19814304,19687,1105979,19565,1082976,-122,-0.047
NJ,Burlington County,175353,16304726,11794,835003,11709,751995,-85,-0.048
OH,Highland County,14459,687050,968,36062,961,37134,-7,-0.048
TN,Gibson County,16460,842545,1160,46107,1152,47180,-8,-0.049
NE,Box Butte County,4081,247820,255,13920,253,11076,-2,-0.049
AL,Lee County,47070,3292931,4706,221088,4683,269264,-23,-0.049
MD,Carroll County,65930,6174528,4200,299699,4166,290397,-34,-0.052
TX,Duval County,3421,144881,204,7911,202,7429,-2,-0.058
PA,Bedford County,18796,1002337,688,27188,677,36920,-11,-0.059
AL,Houston County,34076,2174907,2672,115264,2652,118412,-20,-0.059
KY,Monroe County,3416,148004,152,4630,150,3899,-2,-0.059
IL,White County,5016,296719,257,10660,254,10058,-3,-0.06
GA,Peach County,8318,478257,943,35592,938,41893,-5,-0.06
CA,Mono County,4846,363248,526,26081,523,36746,-3,-0.062
NM,Grant County,9581,463163,621,27811,615,30611,-6,-0.063
AR,Yell County,6347,285982,460,16141,456,17156,-4,-0.063
MS,Lincoln County,10831,606948,565,22478,558,24582,-7,-0.065
MT,Roosevelt County,3065,150013,171,8026,169,8967,-2,-0.065
AL,Chambers County,10758,550450,792,33311,785,27038,-7,-0.065
NM,Dona Ana County,71909,3583296,4667,200932,4619,209097,-48,-0.067
PA,Westmoreland County,147298,10465467,6146,337388,6048,333459,-98,-0.067
OK,Sequoyah County,11931,568313,828,32370,820,31222,-8,-0.067
TX,Crane County,1491,99844,100,9058,99,4537,-1,-0.067
KS,Stafford County,1501,72788,75,3617,74,3196,-1,-0.067
NV,Humboldt County,5853,416941,485,29518,481,23434,-4,-0.068
OH,Paulding County,7269,369667,397,15491,392,15784,-5,-0.069
AZ,Apache County,18813,796008,1750,60646,1737,62721,-13,-0.069
NY,Delaware County,16024,856085,1050,50177,1039,54196,-11,-0.069
MS,Jones County,20777,1114408,1125,40828,1110,42570,-15,-0.072
OH,Mercer County,16760,1081512,689,29509,677,33484,-12,-0.072
IA,Benton County,9616,682239,611,29462,604,28781,-7,-0.073
VA,Greensville County,2712,126340,273,8998,271,8479,-2,-0.074
NC,Columbus County,16214,732947,778,26442,766,26425,-12,-0.074
VA,Halifax County,12051,597809,503,21435,494,20932,-9,-0.075
MS,Alcorn County,10661,578319,613,25658,605,22803,-8,-0.075
NE,Holt County,3971,194583,181,7954,178,7584,-3,-0.076
OK,Osage County,13184,783189,1372,84663,1362,66108,-10,-0.076
GA,Washington County,6321,333601,247,12510,242,8477,-5,-0.079
GA,Mitchell County,6281,274149,417,12828,412,11912,-5,-0.08
WI,Winnebago County,66286,4741916,4804,267483,4751,238026,-53,-0.08
WI,Taylor County,7522,374263,414,18927,408,17795,-6,-0.08
MI,Eaton County,41659,2691758,3848,187005,3814,168361,-34,-0.082
GA,Glynn County,27954,1951400,2248,113217,2225,163108,-23,-0.082
TN,Decatur County,3631,170398,221,8031,218,9768,-3,-0.083
WI,Manitowoc County,32493,2044450,1456,68368,1429,74912,-27,-0.083
VA,Franklin County,19320,1165143,1163,67251,1147,88055,-16,-0.083
PA,Luzerne County,127435,7470104,5210,252922,5104,217332,-106,-0.083
IL,Wayne County,5979,309876,266,10740,261,10381,-5,-0.084
OH,Geauga County,36651,4022005,2272,165597,2241,187461,-31,-0.085
MI,Macomb County,351265,22895048,18123,1076090,17820,841068,-303,-0.086
IN,Decatur County,10089,583860,695,29994,686,30476,-9,-0.089
SD,Todd County,2236,82736,116,3301,114,3434,-2,-0.089
VA,Amherst County,11172,602412,777,32424,767,36169,-10,-0.09
KY,Henry County,5451,301940,465,18545,460,20309,-5,-0.092
CO,Logan County,6534,404700,478,49202,472,18814,-6,-0.092
IL,Edgar County,6530,364993,290,11136,284,10504,-6,-0.092
KY,Boyd County,14993,890966,1018,44224,1004,42577,-14,-0.093
WY,Johnson County,3228,212330,266,12856,263,16255,-3,-0.093
IL,Clinton County,13930,1032834,790,35463,777,36257,-13,-0.093
WI,Pierce County,14877,1128067,1276,70774,1262,72403,-14,-0.094
IL,Stark County,2111,125789,109,4329,107,4278,-2,-0.095
PA,Delaware County,215856,21633866,13143,1022389,12936,1031557,-207,-0.096
OH,Auglaize County,18473,1223460,1049,49525,1031,53235,-18,-0.097
GA,Laurens County,15514,813517,839,32997,824,32960,-15,-0.097
CA,Kings County,41871,2281083,3241,158136,3200,136878,-41,-0.098
MO,Jasper County,38881,2143279,2995,127152,2957,118995,-38,-0.098
IL,Whiteside County,22472,1308511,1004,45531,982,40787,-22,-0.098
TX,Kinney County,1012,54273,61,3050,60,2965,-1,-0.099
MS,Pontotoc County,10010,502859,693,25807,683,23074,-10,-0.1
MN,Fillmore County,7977,470097,487,21767,479,21690,-8,-0.1
MN,Sibley County,5893,353593,380,16347,374,17242,-6,-0.102
GA,Gwinnett County,299933,21122144,29711,1702570,29403,1547978,-308,-0.103
SC,Richland County,133628,9236084,13121,708782,12983,617870,-138,-0.103
WY,Laramie County,37457,2658257,3187,168850,3148,169359,-39,-0.104
IA,Jefferson County,5795,351551,436,18167,430,9155,-6,-0.104
NJ,Salem County,23738,1654117,1453,76133,1428,74434,-25,-0.105
MI,Kent County,241824,18943617,14235,813407,13979,793296,-256,-0.106
IN,Pike County,4512,251698,264,9462,259,12490,-5,-0.111
NC,Cumberland County,102086,5273214,13926,621721,13809,544401,-117,-0.115
OK,Adair County,5960,241880,395,12941,388,13006,-7,-0.117
IN,Clinton County,11990,639826,754,32476,740,27459,-14,-0.117
WI,Green County,15288,1037967,911,49351,893,48226,-18,-0.118
VA,Campbell County,19471,1165334,1721,67907,1698,69489,-23,-0.118
OH,Hancock County,29414,2066780,1858,98847,1823,96826,-35,-0.119
PA,Huntingdon County,15773,899796,656,28380,637,31815,-19,-0.12
MI,Berrien County,57297,3688038,3341,192080,3272,208735,-69,-0.12
WY,Platte County,3304,202745,227,10096,223,10986,-4,-0.121
CA,Mendocino County,30616,1834542,1819,104702,1782,112445,-37,-0.121
NC,Sampson County,19828,957551,1111,36322,1087,36462,-24,-0.121
ME,Penobscot County,54471,3239598,3068,148356,3002,139529,-66,-0.121
OH,Williams County,14752,789984,743,31475,725,28052,-18,-0.122
PA,Columbia County,23733,1430721,1346,65718,1317,63788,-29,-0.122
NE,Nuckolls County,1636,82817,63,3118,61,2879,-2,-0.122
WA,King County,870653,118721944,64891,5749471,63819,5370689,-1072,-0.123
NC,Craven County,34604,2057062,3945,173227,3902,191891,-43,-0.124
TX,Bowie County,31066,1830960,2283,113931,2244,96226,-39,-0.126
KS,Nemaha County,3955,278977,164,8321,159,6446,-5,-0.126
NC,Orange County,45422,5221841,5952,410097,5894,433279,-58,-0.128
NC,Martin County,7834,349547,396,12163,386,12209,-10,-0.128
NE,Colfax County,3889,213900,289,12152,284,10522,-5,-0.129
MI,Genesee County,150229,8714753,7609,365105,7415,337560,-194,-0.129
NY,Schuyler County,6968,391515,480,19547,471,24885,-9,-0.129
MO,Clark County,2289,110785,155,5870,152,6745,-3,-0.131
VA,Pittsylvania County,21590,1141054,1273,50865,1244,48106,-29,-0.134
IL,Ogle County,20000,1357017,1296,63323,1269,62221,-27,-0.135
IN,Elkhart County,73857,5229975,4043,220939,3940,191600,-103,-0.139
NV,Elko County,17906,1405998,1383,84200,1358,78629,-25,-0.14
AL,Lamar County,4270,203997,209,7735,203,7785,-6,-0.141
OH,Huron County,22722,1256538,1468,59745,1436,55664,-32,-0.141
ND,Ransom County,2102,136821,101,4319,98,4848,-3,-0.143
MS,Yalobusha County,4188,180779,288,10826,282,11875,-6,-0.143
PA,Mifflin County,17701,888451,637,27610,611,23410,-26,-0.147
IN,Daviess County,11484,686658,555,21252,538,19500,-17,-0.148
IN,Madison County,46779,2493471,2799,115562,2729,108799,-70,-0.15
OH,Stark County,147383,9223349,6501,336761,6272,293737,-229,-0.155
MO,Callaway County,15366,871930,1208,46405,1184,54731,-24,-0.156
TN,Madison County,33945,2062505,2518,118240,2465,105445,-53,-0.156
IN,Bartholomew County,30783,2326750,2217,134015,2168,116938,-49,-0.159
GA,Early County,3128,132960,189,6135,184,6410,-5,-0.16
VA,Prince William County,161889,14842907,17951,1269308,17690,1096015,-261,-0.161
OR,Gilliam County,618,36670,53,3002,52,2305,-1,-0.162
MI,St. Clair County,62537,3809603,3209,144953,3108,162770,-101,-0.162
IL,Lee County,12881,806855,821,40110,800,36904,-21,-0.163
NJ,Sussex County,56508,5352440,3779,288682,3685,249112,-94,-0.166
IL,Montgomery County,10167,609491,518,23938,501,19934,-17,-0.167
AL,Coosa County,2993,143833,293,10977,288,11927,-5,-0.167
MS,Union County,8911,463627,631,25156,616,25651,-15,-0.168
IN,Greene County,11309,616672,705,28380,686,28885,-19,-0.168
MA,Norfolk County,271058,45304006,23391,2374621,22934,2317114,-457,-0.169
TN,Unicoi County,5866,285826,402,15267,392,15485,-10,-0.17
VT,Addison County,15208,1060648,1053,52187,1027,57901,-26,-0.171
NY,Fulton County,20212,1110852,1163,59949,1128,53877,-35,-0.173
MI,Alpena County,11434,582125,562,21738,542,22705,-20,-0.175
KS,Marshall County,3994,239076,162,6671,155,5384,-7,-0.175
TN,Chester County,5130,251600,439,15310,430,16287,-9,-0.175
GA,Colquitt County,13082,617443,705,28884,682,28902,-23,-0.176
NE,Douglas County,208967,18422571,14885,946017,14517,843916,-368,-0.176
IN,Putnam County,12428,730620,1008,46403,986,44886,-22,-0.177
VA,Lee County,6162,265396,265,9404,254,8201,-11,-0.179
MI,Lapeer County,33344,2159093,2238,107764,2178,115728,-60,-0.18
AL,Cleburne County,4439,233526,304,11583,296,12231,-8,-0.18
CA,Fresno County,315616,19719085,11977,632314,11407,579135,-570,-0.181
PA,Beaver County,68572,4271556,3289,170474,3165,178452,-124,-0.181
MN,Lincoln County,2170,126273,128,5213,124,5514,-4,-0.184
VA,Giles County,5960,322152,323,16296,312,12884,-11,-0.185
IN,Martin County,3741,208185,206,9665,199,8468,-7,-0.187
MN,Brown County,10644,681035,552,25481,532,21884,-20,-0.188
CO,Costilla County,1066,43636,55,1506,53,2005,-2,-0.188
AR,Polk County,5830,262458,354,13073,343,14719,-11,-0.189
IL,Williamson County,23724,1452223,1569,72525,1524,69916,-45,-0.19
MD,Dorchester County,12045,645273,782,33908,759,36978,-23,-0.191
AL,Lauderdale County,30111,1848340,1796,81278,1738,85208,-58,-0.193
IA,Grundy County,4657,383735,287,16044,278,12633,-9,-0.193
OH,Summit County,211689,15120306,11871,716366,11457,728064,-414,-0.196
OK,Garvin County,8163,459629,653,26044,637,27162,-16,-0.196
GA,Burke County,7116,352563,549,19053,535,22696,-14,-0.197
MA,Dukes County,8608,753089,537,38790,520,69455,-17,-0.197
WI,Racine County,76288,5358867,4524,252876,4373,234295,-151,-0.198
TX,Calhoun County,6996,411881,528,25324,514,24736,-14,-0.2
WV,Pocahontas County,3001,131778,123,4713,117,4613,-6,-0.2
NJ,Hunterdon County,49911,7333334,3435,475423,3335,315983,-100,-0.2
GA,Bulloch County,19447,1107586,2039,81488,2000,80251,-39,-0.201
GA,Randolph County,1984,79270,123,3698,119,3363,-4,-0.202
VA,Russell County,7891,389487,388,15289,372,15662,-16,-0.203
AR,Sebastian County,40720,2534622,3127,153990,3044,121708,-83,-0.204
WV,Raleigh County,24061,1295876,1138,52496,1089,44734,-49,-0.204
NE,Thayer County,1955,118949,87,3323,83,3114,-4,-0.205
IA,Appanoose County,4383,210402,206,7834,197,8491,-9,-0.205
OH,Montgomery County,201179,12748989,12244,700699,11830,571301,-414,-0.206
MD,Garrett County,11057,636729,514,25112,491,31358,-23,-0.208
MI,Huron County,13431,719600,573,23864,545,27213,-28,-0.208
NY,Otsego County,21378,1282330,1423,70069,1378,70802,-45,-0.21
SC,Darlington County,21792,1095837,1398,56764,1352,56949,-46,-0.211
WI,Portage County,27166,1840699,1694,75882,1636,76016,-58,-0.214
MO,Reynolds County,1871,78360,106,2680,102,3571,-4,-0.214
SD,Moody County,2326,140457,142,9896,137,5638,-5,-0.215
KY,Graves County,12051,618163,669,23982,643,24136,-26,-0.216
MI,Van Buren County,26871,1557602,2036,88433,1978,101967,-58,-0.216
KY,Warren County,41112,2672742,3126,141246,3037,128752,-89,-0.216
GA,Thomas County,14327,881292,1038,45924,1007,46950,-31,-0.216
IA,Cherokee County,4637,282345,221,10982,211,8265,-10,-0.216
AL,Winston County,6953,366000,486,21091,471,24820,-15,-0.216
KY,Lincoln County,7385,339711,563,18452,547,22819,-16,-0.217
IL,Brown County,1843,108542,95,3696,91,3653,-4,-0.217
OH,Washington County,23287,1341998,1100,51844,1049,50342,-51,-0.219
WI,Eau Claire County,37976,3090373,2922,145424,2839,145705,-83,-0.219
OH,Trumbull County,79856,4164003,3620,155858,3444,132010,-176,-0.22
PA,Clearfield County,29885,1591541,1255,54793,1189,51201,-66,-0.221
MO,Pike County,5845,300165,337,14248,324,15364,-13,-0.222
KY,Greenup County,11678,717166,782,37023,756,31765,-26,-0.223
MI,Oakland County,493700,55555032,32252,2314449,31153,2125730,-1099,-0.223
CA,Tulare County,142546,7530334,5713,284343,5394,239344,-319,-0.224
NY,Columbia County,24120,1848313,1505,93368,1451,116061,-54,-0.224
GA,Murray County,11572,556510,843,33037,817,27130,-26,-0.225
VT,Bennington County,15012,1084785,874,54419,840,56423,-34,-0.226
IN,Kosciusko County,30138,2079272,1992,133031,1924,103017,-68,-0.226
NE,Keith County,3082,170055,200,8226,193,10193,-7,-0.227
GA,Schley County,1315,65816,97,2864,94,3356,-3,-0.228
MI,Mecosta County,13079,746508,1258,48167,1228,53853,-30,-0.229
IA,Audubon County,2175,133139,97,4970,92,3426,-5,-0.23
OH,Clinton County,15149,940594,1111,48113,1076,43762,-35,-0.231
NH,Grafton County,34672,3202363,3249,213787,3169,223098,-80,-0.231
WI,Crawford County,6352,333367,380,15557,365,16055,-15,-0.236
MA,Berkshire County,52653,3702620,2156,144858,2032,142403,-124,-0.236
NY,Rensselaer County,62123,4349869,4860,256521,4713,224097,-147,-0.237
IL,Kane County,188700,16798538,14199,965543,13752,863889,-447,-0.237
TX,Taylor County,45988,2958182,4113,186441,4004,192331,-109,-0.237
MN,Wilkin County,2526,158424,166,7999,160,6477,-6,-0.238
OH,Fulton County,16817,1028728,1001,45041,961,43741,-40,-0.238
PA,Jefferson County,17061,927044,816,30871,775,28621,-41,-0.24
TN,Dyer County,12456,710520,743,30800,713,29728,-30,-0.241
MO,Sullivan County,2077,84336,160,5321,155,5203,-5,-0.241
GA,Telfair County,2891,118490,216,6924,209,6138,-7,-0.242
GA,Wilcox County,2052,83202,116,4130,111,3603,-5,-0.244
AL,Escambia County,11071,539007,661,25911,634,24381,-27,-0.244
OH,Morgan County,4843,230788,265,9624,253,9562,-12,-0.248
OH,Fayette County,10467,530156,673,26958,647,24537,-26,-0.248
MN,Beltrami County,15232,902390,1079,48944,1041,51051,-38,-0.249
KS,Rice County,3180,176482,223,8865,215,9079,-8,-0.252
VA,Nottoway County,4757,235681,281,10062,269,10628,-12,-0.252
MN,Clay County,21820,1445028,2051,97610,1996,86873,-55,-0.252
OH,Preble County,15445,838188,861,35991,822,34481,-39,-0.253
IL,Woodford County,14144,1251241,946,62862,910,53631,-36,-0.255
MI,Baraga County,2738,136207,123,4579,116,5333,-7,-0.256
TX,Fisher County,1165,71080,93,3846,90,4433,-3,-0.258
MA,Worcester County,319756,27046242,15631,1159915,14806,949727,-825,-0.258
MI,Dickinson County,10459,627961,513,23966,486,20481,-27,-0.258
NJ,Camden County,190601,14773259,12351,785838,11857,686409,-494,-0.259
KY,Muhlenberg County,9647,496144,439,17048,414,13924,-25,-0.259
MN,Watonwan County,4169,232677,210,8843,199,7980,-11,-0.264
CA,San Diego County,1248474,110803163,71198,4891830,67893,4650336,-3305,-0.265
KS,Ness County,1134,60984,49,1859,46,1876,-3,-0.265
NY,Schenectady County,60995,4272889,4474,278693,4311,231817,-163,-0.267
CT,Litchfield County,74812,6568851,4602,358868,4402,314180,-200,-0.267
CT,Windham County,44083,2892033,2772,146251,2654,131072,-118,-0.268
WI,Marathon County,55002,3877993,2730,140501,2582,132370,-148,-0.269
GA,Grady County,7431,341925,464,16163,444,15816,-20,-0.269
MI,St. Joseph County,22114,1220647,1323,57071,1263,58184,-60,-0.271
PA,Lehigh County,143785,10688940,9434,513137,9041,484917,-393,-0.273
NJ,Gloucester County,109819,9287288,7063,439797,6763,386625,-300,-0.273
NC,Watauga County,14529,978383,1620,71473,1580,94921,-40,-0.275
OH,Erie County,30844,1899165,1950,92727,1865,86167,-85,-0.276
OH,Tuscarawas County,35717,2116732,1628,70692,1529,67181,-99,-0.277
MI,Bay County,42673,2405444,2153,94916,2035,87201,-118,-0.277
WV,Jackson County,9745,537189,462,19148,435,17988,-27,-0.277
KS,Allen County,4669,235394,289,10499,276,8526,-13,-0.278
PA,Lawrence County,33423,1919279,1453,63397,1360,62218,-93,-0.278
MS,Marshall County,11508,495605,921,35213,889,35102,-32,-0.278
NM,Bernalillo County,243953,15772033,14984,818514,14305,767058,-679,-0.278
WY,Teton County,10727,3408826,1218,109912,1188,212532,-30,-0.28
OK,Harmon County,711,30354,24,978,22,579,-2,-0.281
WY,Weston County,2488,158856,162,8110,155,8083,-7,-0.281
UT,Utah County,167623,14274594,13299,754493,12824,771617,-475,-0.283
AL,DeKalb County,21078,1018194,1199,47723,1139,42618,-60,-0.285
MN,Olmsted County,61721,5565025,4194,269751,4018,224854,-176,-0.285
MO,Moniteau County,5242,278664,316,11603,301,11942,-15,-0.286
OH,Defiance County,15264,882054,902,35603,858,33641,-44,-0.288
IA,Boone County,10027,707752,750,35743,721,35429,-29,-0.289
SD,Lawrence County,9686,760456,936,42176,908,51908,-28,-0.289
MO,Scott County,13081,763862,1030,39404,992,34291,-38,-0.29
CA,Contra Costa County,428412,55050836,29489,2934471,28243,2777893,-1246,-0.291
MS,Webster County,3075,151737,218,8187,209,9209,-9,-0.293
WI,Ashland County,5793,292262,389,17946,372,19222,-17,-0.293
NV,White Pine County,3036,188115,247,13361,238,10233,-9,-0.296
SC,Hampton County,6075,276645,343,13364,325,10378,-18,-0.296
MO,Jackson County,251867,16477818,20018,1093341,19270,975569,-748,-0.297
PA,Blair County,48516,2870148,1646,70138,1502,69503,-144,-0.297
ID,Jerome County,7055,325212,666,22863,645,27089,-21,-0.298
MN,Redwood County,5981,366213,343,15791,325,14339,-18,-0.301
TX,Freestone County,5964,329604,438,20430,420,21453,-18,-0.302
OH,Muskingum County,31923,1708286,1536,72012,1439,62369,-97,-0.304
NY,Dutchess County,112776,9909451,6886,446557,6541,459102,-345,-0.306
ND,Foster County,1305,101952,56,2295,52,2346,-4,-0.307
GA,Emanuel County,6781,316109,412,12998,391,12321,-21,-0.31
ND,Richland County,6136,432412,445,19746,426,18689,-19,-0.31
MN,Rice County,23165,1721867,1715,91807,1643,88723,-72,-0.311
NC,Jones County,3213,145287,297,11463,287,10408,-10,-0.311
NY,Niagara County,84316,5127095,3789,179228,3526,168956,-263,-0.312
IN,Vanderburgh County,67059,4258970,4226,217009,4017,184555,-209,-0.312
IA,Jackson County,7689,433940,411,15215,387,16102,-24,-0.312
NE,Nance County,1276,55869,70,2844,66,2617,-4,-0.313
WV,Ohio County,15904,1192647,1024,50918,974,48426,-50,-0.314
MO,Cape Girardeau County,27394,1887257,1896,84348,1810,79672,-86,-0.314
TX,Carson County,1891,127186,174,9657,168,9136,-6,-0.317
NE,Lancaster County,114830,8599512,6404,342516,6038,315537,-366,-0.319
IA,Taylor County,2186,104068,136,5725,129,5798,-7,-0.32
KS,Greenwood County,2190,105504,98,3703,91,4111,-7,-0.32
CO,Gunnison County,5918,403159,711,39750,692,49513,-19,-0.321
MN,Mower County,14912,982602,901,48977,853,38164,-48,-0.322
AR,Dallas County,2167,101876,148,5252,141,4990,-7,-0.323
NY,Herkimer County,22753,1285154,1245,54306,1171,52984,-74,-0.325
OH,Hardin County,10455,524036,609,25109,575,21513,-34,-0.325
WV,Wirt County,1847,86543,87,3367,81,2936,-6,-0.325
MI,Hillsdale County,15557,822104,975,41023,924,40586,-51,-0.328
CA,Marin County,104097,21886344,7162,1074580,6820,1401143,-342,-0.329
KY,Carter County,8169,407252,433,14736,406,15021,-27,-0.331
MT,Beaverhead County,3322,191534,295,11135,284,12440,-11,-0.331
SD,Lyman County,1206,57506,64,2198,60,2191,-4,-0.332
OH,Brown County,15036,786291,1144,44507,1094,42703,-50,-0.333
SD,Bennett County,902,31333,45,1397,42,1196,-3,-0.333
MN,Swift County,3604,206478,217,10115,205,7514,-12,-0.333
IN,Dubois County,17435,1358358,812,41046,754,30078,-58,-0.333
MS,Simpson County,8077,382015,509,16059,482,17693,-27,-0.334
IN,Dearborn County,19162,1326993,1284,64128,1220,61752,-64,-0.334
KS,Saline County,20672,1308064,1326,58895,1257,49849,-69,-0.334
WV,Pendleton County,2696,120750,101,3291,92,3452,-9,-0.334
MO,Madison County,3885,191955,266,9056,253,8414,-13,-0.335
NE,Pierce County,2685,163020,155,6133,146,6290,-9,-0.335
NE,Saline County,5059,293255,377,16281,360,15711,-17,-0.336
IN,Posey County,9530,709841,642,33119,610,33916,-32,-0.336
MT,Musselshell County,1490,78361,129,3655,124,6097,-5,-0.336
MN,Hennepin County,499957,55874322,39718,3011832,38035,2458349,-1683,-0.337
OH,Ashtabula County,35750,1812387,1689,69746,1568,61961,-121,-0.338
VT,Windham County,18282,1086797,1263,60346,1201,53321,-62,-0.339
MO,St. Louis County,387097,40987838,26482,1840109,25165,1582118,-1317,-0.34
OK,Kay County,14134,829002,927,44527,879,36169,-48,-0.34
NJ,Monmouth County,247565,31446320,14462,1281890,13619,1388139,-843,-0.341
WA,Yakima County,87141,5056237,3629,159098,3332,160019,-297,-0.341
SC,Marlboro County,8200,312269,422,13254,394,12390,-28,-0.341
IL,McHenry County,119484,10667251,8219,577761,7812,482534,-407,-0.341
OK,Kingfisher County,5241,510181,339,20187,321,21179,-18,-0.343
VA,Lunenburg County,3789,182453,229,7625,216,8085,-13,-0.343
IN,Newton County,5205,293817,402,15629,384,18877,-18,-0.346
NE,Lincoln County,12989,808316,788,38940,743,31054,-45,-0.346
PA,Clinton County,13831,753595,731,30061,683,27150,-48,-0.347
WY,Converse County,4890,474481,395,21235,378,18868,-17,-0.348
GA,Bacon County,3142,153666,187,5131,176,6209,-11,-0.35
IA,Scott County,64590,5373710,4132,287251,3905,217336,-227,-0.351
IN,Miami County,12135,615609,852,32508,809,29893,-43,-0.354
MO,Marion County,9882,553978,680,25907,645,27246,-35,-0.354
IL,Jefferson County,13248,755908,739,35461,692,30492,-47,-0.355
AR,Newton County,2252,89285,183,6952,175,6383,-8,-0.355
NY,Schoharie County,11265,659248,704,33958,664,32909,-40,-0.355
IA,Washington County,8429,530665,516,23034,486,25258,-30,-0.356
OH,Belmont County,24814,1623036,1112,54718,1023,48286,-89,-0.359
CO,Boulder County,118784,14295641,13312,947711,12885,1083493,-427,-0.359
AL,Tuscaloosa County,63351,4196259,3914,184222,3686,187622,-228,-0.36
PA,Fayette County,49754,2691374,1913,83413,1733,73368,-180,-0.362
PA,Dauphin County,110984,7566955,7664,390181,7261,344235,-403,-0.363
MA,Essex County,313172,31622947,17101,1307782,15962,1260065,-1139,-0.364
WV,Marion County,20529,1186644,1167,58386,1092,49581,-75,-0.365
TX,Garza County,1368,83002,81,3931,76,3568,-5,-0.365
NE,Gage County,8212,480936,474,20509,444,19250,-30,-0.365
TX,Hidalgo County,252737,10776962,7755,333842,6832,291551,-923,-0.365
MI,Kalamazoo County,94310,7136787,6332,365181,5988,313230,-344,-0.365
