,outflow_state,outflow_county,outflow_n1,outflow_n2,agi_x,inflow_state,inflow_county,inflow_n1,inflow_n2,agi_y
1436,IN,Monroe County Total Migration-US and Foreign,4493,7039,220268,IN,Monroe County Total Migration-US and Foreign,3725,6020,177125
1437,IN,Monroe County Non-migrants,43347,84034,3170977,IN,Monroe County Non-migrants,43347,84034,3170977
1438,IN,Montgomery County Total Migration-US and Foreign,836,1616,38702,IN,Montgomery County Total Migration-US and Foreign,763,1501,30880
1439,IN,Montgomery County Non-migrants,14135,30542,790462,IN,Montgomery County Non-migrants,14135,30542,790462
1440,IN,Morgan County Total Migration-US and Foreign,2060,3819,103343,IN,Morgan County Total Migration-US and Foreign,2208,4425,110241
1441,IN,Morgan County Non-migrants,26081,56778,1727418,IN,Morgan County Non-migrants,26081,56778,1727418
1442,IN,Newton County Total Migration-US and Foreign,402,798,15629,IN,Newton County Total Migration-US and Foreign,384,736,18877
1443,IN,Newton County Non-migrants,5205,11129,293817,IN,Newton County Non-migrants,5205,11129,293817
1444,IN,Noble County Total Migration-US and Foreign,1218,2347,53217,IN,Noble County Total Migration-US and Foreign,1285,2562,57369
1445,IN,Noble County Non-migrants,17214,38675,977139,IN,Noble County Non-migrants,17214,38675,977139
1446,IN,Ohio County Total Migration-US and Foreign,159,318,7227,IN,Ohio County Total Migration-US and Foreign,171,360,8325
1447,IN,Ohio County Non-migrants,2192,4454,124650,IN,Ohio County Non-migrants,2192,4454,124650
1448,IN,Orange County Total Migration-US and Foreign,361,711,14763,IN,Orange County Total Migration-US and Foreign,369,739,12836
1449,IN,Orange County Non-migrants,6833,14569,329306,IN,Orange County Non-migrants,6833,14569,329306
1450,IN,Owen County Total Migration-US and Foreign,568,1161,22948,IN,Owen County Total Migration-US and Foreign,595,1203,25855
1451,IN,Owen County Non-migrants,7459,15874,386475,IN,Owen County Non-migrants,7459,15874,386475
1452,IN,Parke County Total Migration-US and Foreign,352,696,13552,IN,Parke County Total Migration-US and Foreign,360,661,15969
1453,IN,Parke County Non-migrants,5471,12137,288887,IN,Parke County Non-migrants,5471,12137,288887
1454,IN,Perry County Total Migration-US and Foreign,325,629,13220,IN,Perry County Total Migration-US and Foreign,329,629,11924
1455,IN,Perry County Non-migrants,6827,14252,381203,IN,Perry County Non-migrants,6827,14252,381203
1456,IN,Pike County Total Migration-US and Foreign,264,461,9462,IN,Pike County Total Migration-US and Foreign,259,520,12490
1457,IN,Pike County Non-migrants,4512,9636,251698,IN,Pike County Non-migrants,4512,9636,251698
1458,IN,Porter County Total Migration-US and Foreign,4332,7782,244133,IN,Porter County Total Migration-US and Foreign,4651,8875,275448
1459,IN,Porter County Non-migrants,63902,137271,5240688,IN,Porter County Non-migrants,63902,137271,5240688
1460,IN,Posey County Total Migration-US and Foreign,642,1214,33119,IN,Posey County Total Migration-US and Foreign,610,1177,33916
1461,IN,Posey County Non-migrants,9530,21015,709841,IN,Posey County Non-migrants,9530,21015,709841
1462,IN,Pulaski County Total Migration-US and Foreign,311,681,12506,IN,Pulaski County Total Migration-US and Foreign,316,623,10763
1463,IN,Pulaski County Non-migrants,4567,9739,254912,IN,Pulaski County Non-migrants,4567,9739,254912
1464,IN,Putnam County Total Migration-US and Foreign,1008,1876,46403,IN,Putnam County Total Migration-US and Foreign,986,1903,44886
1465,IN,Putnam County Non-migrants,12428,26543,730620,IN,Putnam County Non-migrants,12428,26543,730620
1466,IN,Randolph County Total Migration-US and Foreign,597,1148,20168,IN,Randolph County Total Migration-US and Foreign,485,959,16995
1467,IN,Randolph County Non-migrants,9269,19669,433071,IN,Randolph County Non-migrants,9269,19669,433071
1468,IN,Ripley County Total Migration-US and Foreign,705,1414,34189,IN,Ripley County Total Migration-US and Foreign,807,1626,34871
1469,IN,Ripley County Non-migrants,10540,23167,650165,IN,Ripley County Non-migrants,10540,23167,650165
1470,IN,Rush County Total Migration-US and Foreign,441,882,17157,IN,Rush County Total Migration-US and Foreign,439,898,18032
1471,IN,Rush County Non-migrants,6267,13187,354577,IN,Rush County Non-migrants,6267,13187,354577
1472,IN,St. Joseph County Total Migration-US and Foreign,6161,11259,352847,IN,St. Joseph County Total Migration-US and Foreign,5751,10577,294566
1473,IN,St. Joseph County Non-migrants,98529,206409,6544958,IN,St. Joseph County Non-migrants,98529,206409,6544958
1474,IN,Scott County Total Migration-US and Foreign,602,1170,22996,IN,Scott County Total Migration-US and Foreign,552,1091,21720
1475,IN,Scott County Non-migrants,8113,17298,416326,IN,Scott County Non-migrants,8113,17298,416326
1476,IN,Shelby County Total Migration-US and Foreign,1149,2101,52665,IN,Shelby County Total Migration-US and Foreign,1210,2352,52382
1477,IN,Shelby County Non-migrants,16679,35755,1035640,IN,Shelby County Non-migrants,16679,35755,1035640
1478,IN,Spencer County Total Migration-US and Foreign,458,865,20315,IN,Spencer County Total Migration-US and Foreign,460,854,20802
1479,IN,Spencer County Non-migrants,7575,16607,545439,IN,Spencer County Non-migrants,7575,16607,545439
1480,IN,Starke County Total Migration-US and Foreign,552,1053,19833,IN,Starke County Total Migration-US and Foreign,558,1113,22691
1481,IN,Starke County Non-migrants,8123,17476,415100,IN,Starke County Non-migrants,8123,17476,415100
1482,IN,Steuben County Total Migration-US and Foreign,915,1647,45506,IN,Steuben County Total Migration-US and Foreign,990,1901,67187
1483,IN,Steuben County Non-migrants,12791,26202,800797,IN,Steuben County Non-migrants,12791,26202,800797
1484,IN,Sullivan County Total Migration-US and Foreign,430,812,16230,IN,Sullivan County Total Migration-US and Foreign,399,792,14683
1485,IN,Sullivan County Non-migrants,6858,14770,375477,IN,Sullivan County Non-migrants,6858,14770,375477
1486,IN,Switzerland County Total Migration-US and Foreign,227,465,9548,IN,Switzerland County Total Migration-US and Foreign,246,533,11523
1487,IN,Switzerland County Non-migrants,3254,7161,157453,IN,Switzerland County Non-migrants,3254,7161,157453
1488,IN,Tippecanoe County Total Migration-US and Foreign,5063,8820,246847,IN,Tippecanoe County Total Migration-US and Foreign,4339,7788,211874
1489,IN,Tippecanoe County Non-migrants,58397,123350,4388178,IN,Tippecanoe County Non-migrants,58397,123350,4388178
1490,IN,Tipton County Total Migration-US and Foreign,442,818,19346,IN,Tipton County Total Migration-US and Foreign,473,931,21745
1491,IN,Tipton County Non-migrants,5878,12434,383716,IN,Tipton County Non-migrants,5878,12434,383716
1492,IN,Union County Total Migration-US and Foreign,208,404,6899,IN,Union County Total Migration-US and Foreign,167,333,6645
1493,IN,Union County Non-migrants,2611,5460,132093,IN,Union County Non-migrants,2611,5460,132093
1494,IN,Vanderburgh County Total Migration-US and Foreign,4226,7584,217009,IN,Vanderburgh County Total Migration-US and Foreign,4017,7176,184555
1495,IN,Vanderburgh County Non-migrants,67059,133949,4258970,IN,Vanderburgh County Non-migrants,67059,133949,4258970
1496,IN,Vermillion County Total Migration-US and Foreign,343,646,11994,IN,Vermillion County Total Migration-US and Foreign,360,719,12661
1497,IN,Vermillion County Non-migrants,5766,12154,303632,IN,Vermillion County Non-migrants,5766,12154,303632
1498,IN,Vigo County Total Migration-US and Foreign,2400,4179,106523,IN,Vigo County Total Migration-US and Foreign,1970,3581,80058
1499,IN,Vigo County Non-migrants,35904,73696,2043066,IN,Vigo County Non-migrants,35904,73696,2043066
1500,IN,Wabash County Total Migration-US and Foreign,674,1234,32333,IN,Wabash County Total Migration-US and Foreign,623,1128,25274
1501,IN,Wabash County Non-migrants,11942,25006,708532,IN,Wabash County Non-migrants,11942,25006,708532
1502,IN,Warren County Total Migration-US and Foreign,194,372,9772,IN,Warren County Total Migration-US and Foreign,201,411,10418
1503,IN,Warren County Non-migrants,3116,6847,192736,IN,Warren County Non-migrants,3116,6847,192736
1504,IN,Warrick County Total Migration-US and Foreign,1741,3291,105982,IN,Warrick County Total Migration-US and Foreign,1874,3648,118067
1505,IN,Warrick County Non-migrants,22941,52226,2081618,IN,Warrick County Non-migrants,22941,52226,2081618
1506,IN,Washington County Total Migration-US and Foreign,533,1062,20429,IN,Washington County Total Migration-US and Foreign,669,1384,28571
1507,IN,Washington County Non-migrants,9796,21287,476591,IN,Washington County Non-migrants,9796,21287,476591
1508,IN,Wayne County Total Migration-US and Foreign,1243,2290,56284,IN,Wayne County Total Migration-US and Foreign,1141,2171,45947
1509,IN,Wayne County Non-migrants,24099,49904,1224508,IN,Wayne County Non-migrants,24099,49904,1224508
1510,IN,Wells County Total Migration-US and Foreign,671,1272,29122,IN,Wells County Total Migration-US and Foreign,668,1333,27617
1511,IN,Wells County Non-migrants,10567,23255,654915,IN,Wells County Non-migrants,10567,23255,654915
1512,IN,White County Total Migration-US and Foreign,772,1506,33002,IN,White County Total Migration-US and Foreign,668,1333,31632
1513,IN,White County Non-migrants,9271,19875,523207,IN,White County Non-migrants,9271,19875,523207
1514,IN,Whitley County Total Migration-US and Foreign,871,1617,40142,IN,Whitley County Total Migration-US and Foreign,941,1686,46818
1515,IN,Whitley County Non-migrants,13259,28225,916344,IN,Whitley County Non-migrants,13259,28225,916344
1516,IA,Adair County Total Migration-US and Foreign,151,264,5757,IA,Adair County Total Migration-US and Foreign,167,311,6431
1517,IA,Adair County Non-migrants,2761,5775,149122,IA,Adair County Non-migrants,2761,5775,149122
1518,IA,Adams County Total Migration-US and Foreign,94,190,3765,IA,Adams County Total Migration-US and Foreign,69,143,2696
1519,IA,Adams County Non-migrants,1441,3061,74421,IA,Adams County Non-migrants,1441,3061,74421
1520,IA,Allamakee County Total Migration-US and Foreign,260,479,10711,IA,Allamakee County Total Migration-US and Foreign,239,410,10537
1521,IA,Allamakee County Non-migrants,5441,11810,279816,IA,Allamakee County Non-migrants,5441,11810,279816
1522,IA,Appanoose County Total Migration-US and Foreign,206,398,7834,IA,Appanoose County Total Migration-US and Foreign,197,375,8491
1523,IA,Appanoose County Non-migrants,4383,9267,210402,IA,Appanoose County Non-migrants,4383,9267,210402
1524,IA,Audubon County Total Migration-US and Foreign,97,177,4970,IA,Audubon County Total Migration-US and Foreign,92,172,3426
1525,IA,Audubon County Non-migrants,2175,4547,133139,IA,Audubon County Non-migrants,2175,4547,133139
1526,IA,Benton County Total Migration-US and Foreign,611,1136,29462,IA,Benton County Total Migration-US and Foreign,604,1124,28781
1527,IA,Benton County Non-migrants,9616,21357,682239,IA,Benton County Non-migrants,9616,21357,682239
1528,IA,Black Hawk County Total Migration-US and Foreign,2880,4948,147202,IA,Black Hawk County Total Migration-US and Foreign,2427,4233,112220
1529,IA,Black Hawk County Non-migrants,46826,96100,3191971,IA,Black Hawk County Non-migrants,46826,96100,3191971
1530,IA,Boone County Total Migration-US and Foreign,750,1395,35743,IA,Boone County Total Migration-US and Foreign,721,1370,35429
1531,IA,Boone County Non-migrants,10027,21306,707752,IA,Boone County Non-migrants,10027,21306,707752
1532,IA,Bremer County Total Migration-US and Foreign,569,987,28138,IA,Bremer County Total Migration-US and Foreign,607,1156,29971
1533,IA,Bremer County Non-migrants,8900,20078,679615,IA,Bremer County Non-migrants,8900,20078,679615
1534,IA,Buchanan County Total Migration-US and Foreign,410,771,17968,IA,Buchanan County Total Migration-US and Foreign,437,879,19341
1535,IA,Buchanan County Non-migrants,7562,17135,473578,IA,Buchanan County Non-migrants,7562,17135,473578
1536,IA,Buena Vista County Total Migration-US and Foreign,635,1206,25487,IA,Buena Vista County Total Migration-US and Foreign,464,840,17437
1537,IA,Buena Vista County Non-migrants,7500,17060,478745,IA,Buena Vista County Non-migrants,7500,17060,478745
1538,IA,Butler County Total Migration-US and Foreign,307,523,12492,IA,Butler County Total Migration-US and Foreign,274,516,11644
1539,IA,Butler County Non-migrants,5528,12243,337343,IA,Butler County Non-migrants,5528,12243,337343
1540,IA,Calhoun County Total Migration-US and Foreign,227,412,10140,IA,Calhoun County Total Migration-US and Foreign,188,321,8659
1541,IA,Calhoun County Non-migrants,3639,7806,213579,IA,Calhoun County Non-migrants,3639,7806,213579
1542,IA,Carroll County Total Migration-US and Foreign,449,803,22007,IA,Carroll County Total Migration-US and Foreign,385,745,16523
1543,IA,Carroll County Non-migrants,8027,17660,604628,IA,Carroll County Non-migrants,8027,17660,604628
1544,IA,Cass County Total Migration-US and Foreign,270,472,11191,IA,Cass County Total Migration-US and Foreign,278,493,12131
1545,IA,Cass County Non-migrants,5091,10681,284558,IA,Cass County Non-migrants,5091,10681,284558
1546,IA,Cedar County Total Migration-US and Foreign,494,892,26138,IA,Cedar County Total Migration-US and Foreign,492,928,23944
1547,IA,Cedar County Non-migrants,7063,15196,387343,IA,Cedar County Non-migrants,7063,15196,387343
1548,IA,Cerro Gordo County Total Migration-US and Foreign,1033,1828,51890,IA,Cerro Gordo County Total Migration-US and Foreign,897,1659,45961
1549,IA,Cerro Gordo County Non-migrants,16429,33232,1133139,IA,Cerro Gordo County Non-migrants,16429,33232,1133139
1550,IA,Cherokee County Total Migration-US and Foreign,221,400,10982,IA,Cherokee County Total Migration-US and Foreign,211,391,8265
1551,IA,Cherokee County Non-migrants,4637,9662,282345,IA,Cherokee County Non-migrants,4637,9662,282345
1552,IA,Chickasaw County Total Migration-US and Foreign,244,386,9052,IA,Chickasaw County Total Migration-US and Foreign,203,371,7691
1553,IA,Chickasaw County Non-migrants,4678,10156,299165,IA,Chickasaw County Non-migrants,4678,10156,299165
1554,IA,Clarke County Total Migration-US and Foreign,247,494,11028,IA,Clarke County Total Migration-US and Foreign,251,502,11152
1555,IA,Clarke County Non-migrants,3355,7663,176801,IA,Clarke County Non-migrants,3355,7663,176801
1556,IA,Clay County Total Migration-US and Foreign,440,805,20651,IA,Clay County Total Migration-US and Foreign,384,711,17307
1557,IA,Clay County Non-migrants,6381,13289,439750,IA,Clay County Non-migrants,6381,13289,439750
1558,IA,Clayton County Total Migration-US and Foreign,335,641,12586,IA,Clayton County Total Migration-US and Foreign,366,685,17395
1559,IA,Clayton County Non-migrants,6920,14457,388860,IA,Clayton County Non-migrants,6920,14457,388860
1560,IA,Clinton County Total Migration-US and Foreign,1031,1899,45746,IA,Clinton County Total Migration-US and Foreign,921,1749,39616
1561,IA,Clinton County Non-migrants,17721,37067,1058372,IA,Clinton County Non-migrants,17721,37067,1058372
1562,IA,Crawford County Total Migration-US and Foreign,388,761,15219,IA,Crawford County Total Migration-US and Foreign,323,638,11859
1563,IA,Crawford County Non-migrants,6241,14614,354185,IA,Crawford County Non-migrants,6241,14614,354185
1564,IA,Dallas County Total Migration-US and Foreign,3617,6528,278590,IA,Dallas County Total Migration-US and Foreign,4672,8555,335788
1565,IA,Dallas County Non-migrants,30754,73371,3635281,IA,Dallas County Non-migrants,30754,73371,3635281
1566,IA,Davis County Total Migration-US and Foreign,159,327,8299,IA,Davis County Total Migration-US and Foreign,129,295,6003
1567,IA,Davis County Non-migrants,2838,7279,148986,IA,Davis County Non-migrants,2838,7279,148986
1568,IA,Decatur County Total Migration-US and Foreign,193,336,7289,IA,Decatur County Total Migration-US and Foreign,154,304,5682
1569,IA,Decatur County Non-migrants,2409,5369,141820,IA,Decatur County Non-migrants,2409,5369,141820
1570,IA,Delaware County Total Migration-US and Foreign,319,535,14583,IA,Delaware County Total Migration-US and Foreign,349,724,16718
1571,IA,Delaware County Non-migrants,6661,14939,393378,IA,Delaware County Non-migrants,6661,14939,393378
1572,IA,Des Moines County Total Migration-US and Foreign,849,1567,40961,IA,Des Moines County Total Migration-US and Foreign,746,1394,32456
1573,IA,Des Moines County Non-migrants,15116,30856,921447,IA,Des Moines County Non-migrants,15116,30856,921447
1574,IA,Dickinson County Total Migration-US and Foreign,491,893,33896,IA,Dickinson County Total Migration-US and Foreign,550,968,37610
1575,IA,Dickinson County Non-migrants,7095,14333,588907,IA,Dickinson County Non-migrants,7095,14333,588907
1576,IA,Dubuque County Total Migration-US and Foreign,1807,3198,150923,IA,Dubuque County Total Migration-US and Foreign,1641,2926,83123
1577,IA,Dubuque County Non-migrants,37647,79880,2877694,IA,Dubuque County Non-migrants,37647,79880,2877694
1578,IA,Emmet County Total Migration-US and Foreign,222,380,8936,IA,Emmet County Total Migration-US and Foreign,176,301,6187
1579,IA,Emmet County Non-migrants,3492,7371,199848,IA,Emmet County Non-migrants,3492,7371,199848
1580,IA,Fayette County Total Migration-US and Foreign,474,835,17700,IA,Fayette County Total Migration-US and Foreign,435,780,15739
1581,IA,Fayette County Non-migrants,7130,15092,383804,IA,Fayette County Non-migrants,7130,15092,383804
1582,IA,Floyd County Total Migration-US and Foreign,407,755,18126,IA,Floyd County Total Migration-US and Foreign,354,656,14154
1583,IA,Floyd County Non-migrants,5798,12695,347821,IA,Floyd County Non-migrants,5798,12695,347821
1584,IA,Franklin County Total Migration-US and Foreign,215,428,9273,IA,Franklin County Total Migration-US and Foreign,170,328,6542
1585,IA,Franklin County Non-migrants,3594,8127,217979,IA,Franklin County Non-migrants,3594,8127,217979
1586,IA,Fremont County Total Migration-US and Foreign,157,317,6639,IA,Fremont County Total Migration-US and Foreign,176,341,7470
1587,IA,Fremont County Non-migrants,2528,5469,155351,IA,Fremont County Non-migrants,2528,5469,155351
1588,IA,Greene County Total Migration-US and Foreign,190,326,8535,IA,Greene County Total Migration-US and Foreign,163,355,6470
1589,IA,Greene County Non-migrants,3378,7261,191512,IA,Greene County Non-migrants,3378,7261,191512
1590,IA,Grundy County Total Migration-US and Foreign,287,548,16044,IA,Grundy County Total Migration-US and Foreign,278,510,12633
1591,IA,Grundy County Non-migrants,4657,10378,383735,IA,Grundy County Non-migrants,4657,10378,383735
1592,IA,Guthrie County Total Migration-US and Foreign,294,560,13259,IA,Guthrie County Total Migration-US and Foreign,330,630,18268
1593,IA,Guthrie County Non-migrants,4032,8741,280275,IA,Guthrie County Non-migrants,4032,8741,280275
1594,IA,Hamilton County Total Migration-US and Foreign,335,610,16450,IA,Hamilton County Total Migration-US and Foreign,334,654,15265
1595,IA,Hamilton County Non-migrants,5652,12214,386420,IA,Hamilton County Non-migrants,5652,12214,386420
1596,IA,Hancock County Total Migration-US and Foreign,237,422,9598,IA,Hancock County Total Migration-US and Foreign,217,429,8893
1597,IA,Hancock County Non-migrants,4152,9013,258803,IA,Hancock County Non-migrants,4152,9013,258803
1598,IA,Hardin County Total Migration-US and Foreign,419,832,20355,IA,Hardin County Total Migration-US and Foreign,364,680,15925
1599,IA,Hardin County Non-migrants,6186,13399,338942,IA,Hardin County Non-migrants,6186,13399,338942
1600,IA,Harrison County Total Migration-US and Foreign,302,558,13389,IA,Harrison County Total Migration-US and Foreign,300,599,15248
1601,IA,Harrison County Non-migrants,5318,11594,332295,IA,Harrison County Non-migrants,5318,11594,332295
1602,IA,Henry County Total Migration-US and Foreign,461,891,19213,IA,Henry County Total Migration-US and Foreign,413,804,17438
1603,IA,Henry County Non-migrants,7019,15076,408239,IA,Henry County Non-migrants,7019,15076,408239
1604,IA,Howard County Total Migration-US and Foreign,165,296,8250,IA,Howard County Total Migration-US and Foreign,209,395,9224
1605,IA,Howard County Non-migrants,3661,7950,195280,IA,Howard County Non-migrants,3661,7950,195280
1606,IA,Humboldt County Total Migration-US and Foreign,196,376,9110,IA,Humboldt County Total Migration-US and Foreign,196,390,9487
1607,IA,Humboldt County Non-migrants,3598,7897,247059,IA,Humboldt County Non-migrants,3598,7897,247059
1608,IA,Ida County Total Migration-US and Foreign,151,263,6615,IA,Ida County Total Migration-US and Foreign,151,286,6344
1609,IA,Ida County Non-migrants,2670,5727,191511,IA,Ida County Non-migrants,2670,5727,191511
1610,IA,Iowa County Total Migration-US and Foreign,364,617,17052,IA,Iowa County Total Migration-US and Foreign,412,762,19900
1611,IA,Iowa County Non-migrants,6407,13960,425625,IA,Iowa County Non-migrants,6407,13960,425625
1612,IA,Jackson County Total Migration-US and Foreign,411,682,15215,IA,Jackson County Total Migration-US and Foreign,387,725,16102
1613,IA,Jackson County Non-migrants,7689,16227,433940,IA,Jackson County Non-migrants,7689,16227,433940
1614,IA,Jasper County Total Migration-US and Foreign,922,1757,45881,IA,Jasper County Total Migration-US and Foreign,942,1803,45623
1615,IA,Jasper County Non-migrants,13373,28900,863354,IA,Jasper County Non-migrants,13373,28900,863354
1616,IA,Jefferson County Total Migration-US and Foreign,436,700,18167,IA,Jefferson County Total Migration-US and Foreign,430,731,9155
1617,IA,Jefferson County Non-migrants,5795,11478,351551,IA,Jefferson County Non-migrants,5795,11478,351551
1618,IA,Johnson County Total Migration-US and Foreign,4919,8079,289521,IA,Johnson County Total Migration-US and Foreign,4194,6815,228449
1619,IA,Johnson County Non-migrants,49874,102595,4380931,IA,Johnson County Non-migrants,49874,102595,4380931
1620,IA,Jones County Total Migration-US and Foreign,445,841,20278,IA,Jones County Total Migration-US and Foreign,410,791,20641
1621,IA,Jones County Non-migrants,7378,15694,455080,IA,Jones County Non-migrants,7378,15694,455080
1622,IA,Keokuk County Total Migration-US and Foreign,207,384,8456,IA,Keokuk County Total Migration-US and Foreign,211,431,7959
1623,IA,Keokuk County Non-migrants,3663,7936,192784,IA,Keokuk County Non-migrants,3663,7936,192784
1624,IA,Kossuth County Total Migration-US and Foreign,355,633,16874,IA,Kossuth County Total Migration-US and Foreign,333,599,14500
1625,IA,Kossuth County Non-migrants,5981,12634,378468,IA,Kossuth County Non-migrants,5981,12634,378468
1626,IA,Lee County Total Migration-US and Foreign,630,1221,27287,IA,Lee County Total Migration-US and Foreign,549,1048,22075
1627,IA,Lee County Non-migrants,12558,25866,723501,IA,Lee County Non-migrants,12558,25866,723501
1628,IA,Linn County Total Migration-US and Foreign,4768,8634,346197,IA,Linn County Total Migration-US and Foreign,4750,8266,245263
1629,IA,Linn County Non-migrants,85638,180311,6763789,IA,Linn County Non-migrants,85638,180311,6763789
1630,IA,Louisa County Total Migration-US and Foreign,262,495,9580,IA,Louisa County Total Migration-US and Foreign,247,470,10606
1631,IA,Louisa County Non-migrants,4011,8944,235353,IA,Louisa County Non-migrants,4011,8944,235353
1632,IA,Lucas County Total Migration-US and Foreign,176,349,7119,IA,Lucas County Total Migration-US and Foreign,162,328,6747
1633,IA,Lucas County Non-migrants,3119,6933,167759,IA,Lucas County Non-migrants,3119,6933,167759
1634,IA,Lyon County Total Migration-US and Foreign,161,284,6966,IA,Lyon County Total Migration-US and Foreign,161,316,7124
1635,IA,Lyon County Non-migrants,4218,10559,285299,IA,Lyon County Non-migrants,4218,10559,285299
1636,IA,Madison County Total Migration-US and Foreign,453,835,24230,IA,Madison County Total Migration-US and Foreign,483,981,30662
1637,IA,Madison County Non-migrants,5638,13184,449048,IA,Madison County Non-migrants,5638,13184,449048
1638,IA,Mahaska County Total Migration-US and Foreign,517,1023,23268,IA,Mahaska County Total Migration-US and Foreign,427,825,19285
1639,IA,Mahaska County Non-migrants,7586,16953,494659,IA,Mahaska County Non-migrants,7586,16953,494659
1640,IA,Marion County Total Migration-US and Foreign,726,1269,38122,IA,Marion County Total Migration-US and Foreign,735,1435,39768
1641,IA,Marion County Non-migrants,11891,27072,925276,IA,Marion County Non-migrants,11891,27072,925276
1642,IA,Marshall County Total Migration-US and Foreign,934,1777,42598,IA,Marshall County Total Migration-US and Foreign,793,1517,31629
1643,IA,Marshall County Non-migrants,14405,32466,890149,IA,Marshall County Non-migrants,14405,32466,890149
1644,IA,Mills County Total Migration-US and Foreign,361,702,18823,IA,Mills County Total Migration-US and Foreign,364,733,19693
1645,IA,Mills County Non-migrants,5326,12032,398026,IA,Mills County Non-migrants,5326,12032,398026
1646,IA,Mitchell County Total Migration-US and Foreign,183,307,10637,IA,Mitchell County Total Migration-US and Foreign,224,411,9690
1647,IA,Mitchell County Non-migrants,3912,8670,237062,IA,Mitchell County Non-migrants,3912,8670,237062
1648,IA,Monona County Total Migration-US and Foreign,200,342,8140,IA,Monona County Total Migration-US and Foreign,163,338,7637
1649,IA,Monona County Non-migrants,3321,6882,188009,IA,Monona County Non-migrants,3321,6882,188009
1650,IA,Monroe County Total Migration-US and Foreign,140,258,5087,IA,Monroe County Total Migration-US and Foreign,171,316,7694
1651,IA,Monroe County Non-migrants,2692,5959,147405,IA,Monroe County Non-migrants,2692,5959,147405
1652,IA,Montgomery County Total Migration-US and Foreign,269,500,12192,IA,Montgomery County Total Migration-US and Foreign,227,455,9268
1653,IA,Montgomery County Non-migrants,3735,7793,208313,IA,Montgomery County Non-migrants,3735,7793,208313
1654,IA,Muscatine County Total Migration-US and Foreign,1005,1898,52058,IA,Muscatine County Total Migration-US and Foreign,871,1620,37814
1655,IA,Muscatine County Non-migrants,16287,35230,1067535,IA,Muscatine County Non-migrants,16287,35230,1067535
1656,IA,O'Brien County Total Migration-US and Foreign,348,657,12903,IA,O'Brien County Total Migration-US and Foreign,309,576,12698
1657,IA,O'Brien County Non-migrants,5330,11718,357006,IA,O'Brien County Non-migrants,5330,11718,357006
1658,IA,Osceola County Total Migration-US and Foreign,145,286,7125,IA,Osceola County Total Migration-US and Foreign,123,246,4742
1659,IA,Osceola County Non-migrants,2314,5158,126078,IA,Osceola County Non-migrants,2314,5158,126078
1660,IA,Page County Total Migration-US and Foreign,352,655,14494,IA,Page County Total Migration-US and Foreign,268,534,12768
1661,IA,Page County Non-migrants,5164,10852,296709,IA,Page County Non-migrants,5164,10852,296709
1662,IA,Palo Alto County Total Migration-US and Foreign,208,347,8707,IA,Palo Alto County Total Migration-US and Foreign,179,297,7128
1663,IA,Palo Alto County Non-migrants,3408,7167,186949,IA,Palo Alto County Non-migrants,3408,7167,186949
1664,IA,Plymouth County Total Migration-US and Foreign,631,1235,33995,IA,Plymouth County Total Migration-US and Foreign,562,1076,25574
1665,IA,Plymouth County Non-migrants,9593,21825,711232,IA,Plymouth County Non-migrants,9593,21825,711232
1666,IA,Pocahontas County Total Migration-US and Foreign,194,347,7460,IA,Pocahontas County Total Migration-US and Foreign,134,259,5902
1667,IA,Pocahontas County Non-migrants,2645,5610,152709,IA,Pocahontas County Non-migrants,2645,5610,152709
1668,IA,Polk County Total Migration-US and Foreign,12375,22368,746798,IA,Polk County Total Migration-US and Foreign,13343,23780,758910
1669,IA,Polk County Non-migrants,179333,385627,15111284,IA,Polk County Non-migrants,179333,385627,15111284
1670,IA,Pottawattamie County Total Migration-US and Foreign,2130,3895,101089,IA,Pottawattamie County Total Migration-US and Foreign,1997,3716,92374
1671,IA,Pottawattamie County Non-migrants,33624,71010,2192393,IA,Pottawattamie County Non-migrants,33624,71010,2192393
1672,IA,Poweshiek County Total Migration-US and Foreign,515,868,27863,IA,Poweshiek County Total Migration-US and Foreign,488,936,26823
1673,IA,Poweshiek County Non-migrants,6600,13706,429784,IA,Poweshiek County Non-migrants,6600,13706,429784
1674,IA,Ringgold County Total Migration-US and Foreign,81,165,3015,IA,Ringgold County Total Migration-US and Foreign,87,186,4728
1675,IA,Ringgold County Non-migrants,1647,3656,77506,IA,Ringgold County Non-migrants,1647,3656,77506
1676,IA,Sac County Total Migration-US and Foreign,210,367,8446,IA,Sac County Total Migration-US and Foreign,172,333,7749
1677,IA,Sac County Non-migrants,3860,8198,237337,IA,Sac County Non-migrants,3860,8198,237337
1678,IA,Scott County Total Migration-US and Foreign,4132,7703,287251,IA,Scott County Total Migration-US and Foreign,3905,7343,217336
1679,IA,Scott County Non-migrants,64590,136806,5373710,IA,Scott County Non-migrants,64590,136806,5373710
1680,IA,Shelby County Total Migration-US and Foreign,273,478,12339,IA,Shelby County Total Migration-US and Foreign,254,491,10491
1681,IA,Shelby County Non-migrants,4586,9885,311209,IA,Shelby County Non-migrants,4586,9885,311209
1682,IA,Sioux County Total Migration-US and Foreign,550,1043,26509,IA,Sioux County Total Migration-US and Foreign,488,1020,26597
1683,IA,Sioux County Non-migrants,11549,29981,864591,IA,Sioux County Non-migrants,11549,29981,864591
1684,IA,Story County Total Migration-US and Foreign,3146,5006,151846,IA,Story County Total Migration-US and Foreign,2492,4173,123332
