,outflow_state,outflow_county,outflow_n1,outflow_n2,agi_x,inflow_state,inflow_county,inflow_n1,inflow_n2,agi_y
45,AL,Dale County Non-migrants,14414,31379,744455,AL,Dale County Non-migrants,14414,31379,744455
46,AL,Dallas County Total Migration-US and Foreign,728,1521,29459,AL,Dallas County Total Migration-US and Foreign,396,808,13982
47,AL,Dallas County Non-migrants,12346,26746,517964,AL,Dallas County Non-migrants,12346,26746,517964
48,AL,DeKalb County Total Migration-US and Foreign,1199,2586,47723,AL,DeKalb County Total Migration-US and Foreign,1139,2440,42618
49,AL,DeKalb County Non-migrants,21078,49922,1018194,AL,DeKalb County Non-migrants,21078,49922,1018194
50,AL,Elmore County Total Migration-US and Foreign,2187,4506,100134,AL,Elmore County Total Migration-US and Foreign,2459,5034,120603
51,AL,Elmore County Non-migrants,27303,60213,1767149,AL,Elmore County Non-migrants,27303,60213,1767149
52,AL,Escambia County Total Migration-US and Foreign,661,1412,25911,AL,Escambia County Total Migration-US and Foreign,634,1348,24381
53,AL,Escambia County Non-migrants,11071,24454,539007,AL,Escambia County Non-migrants,11071,24454,539007
54,AL,Etowah County Total Migration-US and Foreign,1675,3332,64519,AL,Etowah County Total Migration-US and Foreign,1795,3806,76285
55,AL,Etowah County Non-migrants,33042,72923,1743402,AL,Etowah County Non-migrants,33042,72923,1743402
56,AL,Fayette County Total Migration-US and Foreign,292,613,11361,AL,Fayette County Total Migration-US and Foreign,300,697,11608
57,AL,Fayette County Non-migrants,5003,11395,239162,AL,Fayette County Non-migrants,5003,11395,239162
58,AL,Franklin County Total Migration-US and Foreign,600,1320,22586,AL,Franklin County Total Migration-US and Foreign,508,1185,19713
59,AL,Franklin County Non-migrants,9332,22392,447192,AL,Franklin County Non-migrants,9332,22392,447192
60,AL,Geneva County Total Migration-US and Foreign,535,1095,22327,AL,Geneva County Total Migration-US and Foreign,587,1331,24270
61,AL,Geneva County Non-migrants,7763,17306,365052,AL,Geneva County Non-migrants,7763,17306,365052
62,AL,Greene County Total Migration-US and Foreign,135,292,4423,AL,Greene County Total Migration-US and Foreign,144,271,4688
63,AL,Greene County Non-migrants,2549,5591,95056,AL,Greene County Non-migrants,2549,5591,95056
64,AL,Hale County Total Migration-US and Foreign,351,741,12970,AL,Hale County Total Migration-US and Foreign,293,614,12272
65,AL,Hale County Non-migrants,4832,10698,213670,AL,Hale County Non-migrants,4832,10698,213670
66,AL,Henry County Total Migration-US and Foreign,403,823,15874,AL,Henry County Total Migration-US and Foreign,441,952,18723
67,AL,Henry County Non-migrants,5423,11990,369684,AL,Henry County Non-migrants,5423,11990,369684
68,AL,Houston County Total Migration-US and Foreign,2672,5596,115264,AL,Houston County Total Migration-US and Foreign,2652,5466,118412
69,AL,Houston County Non-migrants,34076,74368,2174907,AL,Houston County Non-migrants,34076,74368,2174907
70,AL,Jackson County Total Migration-US and Foreign,890,1819,38548,AL,Jackson County Total Migration-US and Foreign,895,1959,43330
71,AL,Jackson County Non-migrants,16698,36623,868072,AL,Jackson County Non-migrants,16698,36623,868072
72,AL,Jefferson County Total Migration-US and Foreign,13629,25833,870315,AL,Jefferson County Total Migration-US and Foreign,12207,22400,737503
73,AL,Jefferson County Non-migrants,225896,479750,18762608,AL,Jefferson County Non-migrants,225896,479750,18762608
