,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
117,AR,Johnson County ,7603,351662,512,18976,555,20700,43,0.00565566223859003
118,AR,Lafayette County ,1947,89508,154,4780,137,4472,-17,-0.008731381612737545
119,AR,Lawrence County ,4679,212488,405,12684,327,10112,-78,-0.016670228681342165
120,AR,Lee County ,2144,123622,169,4454,145,3706,-24,-0.011194029850746268
121,AR,Lincoln County ,3000,148010,195,7538,177,5701,-18,-0.006
122,AR,Little River County ,3847,189179,240,9330,270,10176,30,0.007798284377436964
123,AR,Logan County ,6531,301943,441,15315,451,15740,10,0.001531159087429184
124,AR,Lonoke County ,22623,1430803,2176,103437,2316,101804,140,0.006188392344074614
125,AR,Madison County ,5041,239750,392,15007,408,17487,16,0.0031739734179726245
126,AR,Marion County ,5007,208624,432,16875,533,25242,101,0.02017175953664869
127,AR,Miller County ,13161,709743,1330,50129,1154,42971,-176,-0.01337284400881392
128,AR,Mississippi County ,12510,609009,899,35899,590,20854,-309,-0.024700239808153477
129,AR,Monroe County ,2213,85855,176,5430,143,5265,-33,-0.0149118843199277
130,AR,Montgomery County ,2458,106907,159,5721,182,10323,23,0.00935720097640358
131,AR,Nevada County ,2569,111617,213,7568,176,5651,-37,-0.014402491241728299
132,AR,Newton County ,2252,89285,183,6952,175,6383,-8,-0.003552397868561279
133,AR,Ouachita County ,7541,376812,461,18552,380,15103,-81,-0.010741280997215224
134,AR,Perry County ,2997,156384,193,7327,252,10356,59,0.019686353019686353
135,AR,Phillips County ,5377,206829,346,10854,195,9783,-151,-0.02808257392598103
136,AR,Pike County ,3160,143112,216,7531,170,7251,-46,-0.014556962025316455
137,AR,Poinsett County ,6839,312297,513,19180,441,13612,-72,-0.010527854949554029
138,AR,Polk County ,5830,262458,354,13073,343,14719,-11,-0.0018867924528301887
139,AR,Pope County ,19506,1166297,1351,54437,1342,60182,-9,-0.00046139649338665026
140,AR,Prairie County ,2604,134426,173,6064,130,4795,-43,-0.01651305683563748
141,AR,Pulaski County ,136703,10618022,10704,564337,9236,430216,-1468,-0.010738608516272502
142,AR,Randolph County ,5343,234703,347,14223,435,14846,88,0.01647014785700917
143,AR,St. Francis County ,6625,262310,519,18146,415,12020,-104,-0.01569811320754717
144,AR,Saline County ,39392,2694599,2999,155016,3517,180093,518,0.013149878147847278
145,AR,Scott County ,3016,123584,216,6808,189,7473,-27,-0.008952254641909815
146,AR,Searcy County ,2282,78218,133,3396,151,6334,18,0.007887817703768623
147,AR,Sebastian County ,40720,2534622,3127,153990,3044,121708,-83,-0.002038310412573674
148,AR,Sevier County ,4767,212191,273,9513,235,8016,-38,-0.007971470526536606
149,AR,Sharp County ,4809,200533,473,15579,530,18910,57,0.011852776044915784
150,AR,Stone County ,3622,149451,200,7043,255,9075,55,0.015184980673660961
151,AR,Union County ,13365,855674,723,41026,609,31284,-114,-0.008529741863075197
152,AR,Van Buren County ,4905,232047,361,14315,396,19359,35,0.007135575942915392
153,AR,Washington County ,73592,5305239,6325,332130,6769,377014,444,0.006033264485270138
154,AR,White County ,23023,1386324,1681,68805,1569,61758,-112,-0.00486470051687443
155,AR,Woodruff County ,1993,87724,120,4304,103,3185,-17,-0.008529854490717512
156,AR,Yell County ,6347,285982,460,16141,456,17156,-4,-0.0006302190011028833
157,CA,Alameda County ,619312,70690273,49635,4750596,45864,4434831,-3771,-0.006089014906864391
158,CA,Alpine County ,336,21089,49,1595,23,1877,-26,-0.07738095238095238
159,CA,Amador County ,13491,940576,911,49443,1119,71015,208,0.015417685864650508
160,CA,Butte County ,72701,4697236,6247,304738,4652,235372,-1595,-0.021939175527159186
161,CA,Calaveras County ,15854,1096750,1273,75460,1494,116076,221,0.013939699760312854
162,CA,Colusa County ,7731,474161,403,21069,367,18405,-36,-0.004656577415599534
163,CA,Contra Costa County ,428412,55050836,29489,2934471,28243,2777893,-1246,-0.002908415263811471
164,CA,Del Norte County ,7650,405135,533,24141,577,28615,44,0.005751633986928104
165,CA,El Dorado County ,70039,7227334,5497,420607,6429,617910,932,0.013306871885663702
166,CA,Fresno County ,315616,19719085,11977,632314,11407,579135,-570,-0.0018059920916556828
167,CA,Glenn County ,9636,530857,559,22442,656,27817,97,0.010066417600664176
168,CA,Humboldt County ,44348,2697164,2945,130408,2563,104319,-382,-0.008613691711012898
169,CA,Imperial County ,61426,2883438,2673,116467,2238,83986,-435,-0.007081691791749422
170,CA,Inyo County ,6580,459082,483,28213,536,26817,53,0.008054711246200608
171,CA,Kern County ,267816,16042897,11960,677103,12019,546539,59,0.00022030050482420765
172,CA,Kings County ,41871,2281083,3241,158136,3200,136878,-41,-0.0009791980129445202
173,CA,Lake County ,19567,1014962,1347,65090,1545,79905,198,0.010119078039556396
174,CA,Lassen County ,7602,480529,651,35182,650,29569,-1,-0.00013154433043935807
175,CA,Los Angeles County ,3732877,330740878,154210,11436416,120440,8511638,-33770,-0.00904664150466249
176,CA,Madera County ,46157,2499212,2721,130006,2845,154806,124,0.002686483090322161
177,CA,Marin County ,104097,21886344,7162,1074580,6820,1401143,-342,-0.0032853972736966485
178,CA,Mariposa County ,5905,355435,579,27889,541,29406,-38,-0.006435224386113463
179,CA,Mendocino County ,30616,1834542,1819,104702,1782,112445,-37,-0.0012085184217402666
180,CA,Merced County ,80967,4183073,4442,197093,4658,198361,216,0.0026677535292156064
181,CA,Modoc County ,2679,132071,210,12508,174,7340,-36,-0.013437849944008958
182,CA,Mono County ,4846,363248,526,26081,523,36746,-3,-0.0006190672719768881
183,CA,Monterey County ,153085,11671143,9275,867995,8057,595097,-1218,-0.007956364111441357
184,CA,Napa County ,52853,5766730,3716,303831,3396,317158,-320,-0.006054528598187426
185,CA,Nevada County ,38701,3055710,2998,204597,3436,270648,438,0.011317537014547428
186,CA,Orange County ,1192078,125315037,66496,5333233,58396,4863167,-8100,-0.006794857383493362
187,CA,Placer County ,141595,15230760,11421,782704,13923,1180411,2502,0.01767011547017903
188,CA,Plumas County ,6962,430849,509,24216,601,37497,92,0.013214593507612756
189,CA,Riverside County ,770647,49841912,48974,2874504,55724,3363745,6750,0.00875887403701046
190,CA,Sacramento County ,544229,39224971,31738,1974737,33378,1904425,1640,0.003013437358170917
191,CA,San Benito County ,21706,1732592,1529,109869,1910,142750,381,0.017552750391596792
192,CA,San Bernardino County ,697466,42198055,47252,2453323,47926,2300220,674,0.0009663553492213241
193,CA,San Diego County ,1248474,110803163,71198,4891830,67893,4650336,-3305,-0.002647231740508813
194,CA,San Francisco County ,380632,63823930,37668,5557260,34695,4234532,-2973,-0.007810693793480317
195,CA,San Joaquin County ,244304,16385896,13440,768131,15000,895331,1560,0.00638548693431135
196,CA,San Luis Obispo County ,103543,8673110,6568,422982,6547,503181,-21,-0.00020281428971538395
197,CA,San Mateo County ,305494,60522998,26450,3976835,23794,3500170,-2656,-0.008694115105370319
198,CA,Santa Barbara County ,158913,14271591,9761,701225,8098,641186,-1663,-0.010464845544417385
199,CA,Santa Clara County ,742126,137755940,51481,7270493,41828,4644312,-9653,-0.013007225188175592
200,CA,Santa Cruz County ,102561,10416906,6811,532984,5944,518792,-867,-0.008453505718547987
201,CA,Shasta County ,60488,3889602,3822,203017,4010,205471,188,0.003108054490146806
202,CA,Sierra County ,960,55257,70,3791,89,5479,19,0.019791666666666666
203,CA,Siskiyou County ,15015,790779,963,34321,1069,54925,106,0.00705960705960706
204,CA,Solano County ,161614,12446243,12055,731834,12390,746168,335,0.002072840224237999
205,CA,Sonoma County ,194193,17219249,11194,829442,8772,701383,-2422,-0.012472128243551518
206,CA,Stanislaus County ,178333,11230243,9340,495180,9320,458844,-20,-0.00011214974233596699
207,CA,Sutter County ,31241,1936203,2437,115705,2518,107607,81,0.002592746711052783
208,CA,Tehama County ,19635,1090007,1386,66719,1658,80518,272,0.013852813852813853
209,CA,Trinity County ,3487,183469,249,12485,249,10982,0,0.0
210,CA,Tulare County ,142546,7530334,5713,284343,5394,239344,-319,-0.0022378740897675137
211,CA,Tuolumne County ,19362,1285160,1228,66550,1372,89474,144,0.007437248218159281
212,CA,Ventura County ,318012,29295134,17225,1471512,15757,1254039,-1468,-0.004616178005861414
213,CA,Yolo County ,68867,6029340,6737,406766,5914,357787,-823,-0.011950571391232375
214,CA,Yuba County ,21816,1191151,2698,118629,2969,133196,271,0.012422075540887423
215,CO,Adams County ,169932,11285903,20468,1086773,21963,1163226,1495,0.00879763670173952
216,CO,Alamosa County ,5030,269409,484,20684,523,21542,39,0.007753479125248509
217,CO,Arapahoe County ,228665,22379567,31237,2080292,31510,2048018,273,0.0011938862528152537
218,CO,Archuleta County ,4862,298637,421,24108,621,55898,200,0.04113533525298231
219,CO,Baca County ,1205,39482,32,574,63,2354,31,0.025726141078838173
220,CO,Bent County ,1201,52524,70,2161,103,3635,33,0.027477102414654453
221,CO,Boulder County ,118784,14295641,13312,947711,12885,1083493,-427,-0.0035947602370689654
222,CO,Broomfield County ,23522,2694139,4751,359012,5125,381334,374,0.015900008502678344
223,CO,Chaffee County ,7289,493000,648,32864,892,63657,244,0.03347509946494718
