INTPTLAT,INTPTLNG,COUNTY NAME,USPS
38.267226,-121.939594,Solano County,CA
38.525182,-122.92611,Sonoma County,CA
37.562316,-121.002831,Stanislaus County,CA
39.03619,-121.70394,Sutter County,CA
40.126157,-122.232274,Tehama County,CA
40.647803,-123.114476,Trinity County,CA
36.228834,-118.781055,Tulare County,CA
38.021434,-119.964733,Tuolumne County,CA
34.358741,-119.133143,Ventura County,CA
38.679596,-121.902441,Yolo County,CA
39.27013,-121.344259,Yuba County,CA
39.874325,-104.331872,Adams County,CO
37.568442,-105.788041,Alamosa County,CO
39.644554,-104.331706,Arapahoe County,CO
37.202395,-107.050863,Archuleta County,CO
37.30978,-102.543741,Baca County,CO
37.931891,-103.077584,Bent County,CO
40.09497,-105.397691,Boulder County,CO
39.953593,-105.050787,Broomfield County,CO
38.738223,-106.316683,Chaffee County,CO
38.835646,-102.601791,Cheyenne County,CO
39.669732,-105.69257,Clear Creek County,CO
37.213406,-106.176447,Conejos County,CO
37.277547,-105.42894,Costilla County,CO
38.30618,-103.772736,Crowley County,CO
38.101996,-105.373512,Custer County,CO
38.861595,-107.864892,Delta County,CO
39.76185,-104.881105,Denver County,CO
37.711723,-108.524116,Dolores County,CO
39.325414,-104.925987,Douglas County,CO
39.626992,-106.695169,Eagle County,CO
39.315157,-104.114076,Elbert County,CO
38.827383,-104.527472,El Paso County,CO
38.45517,-105.424958,Fremont County,CO
39.599352,-107.90978,Garfield County,CO
39.861156,-105.528878,Gilpin County,CO
40.113065,-106.110837,Grand County,CO
38.670499,-107.05688,Gunnison County,CO
37.821165,-107.338261,Hinsdale County,CO
37.687815,-104.959928,Huerfano County,CO
40.663432,-106.329248,Jackson County,CO
39.579511,-105.245462,Jefferson County,CO
38.387663,-102.756849,Kiowa County,CO
39.30534,-102.603023,Kit Carson County,CO
39.205341,-106.350079,Lake County,CO
37.287367,-107.839718,La Plata County,CO
40.658093,-105.486764,Larimer County,CO
37.318831,-104.04411,Las Animas County,CO
38.99374,-103.507555,Lincoln County,CO
40.728091,-103.090464,Logan County,CO
39.019524,-108.460571,Mesa County,CO
37.549067,-107.003236,Mineral County,CO
40.610864,-108.217154,Moffat County,CO
37.338025,-108.595786,Montezuma County,CO
38.407507,-108.266282,Montrose County,CO
40.263159,-103.81221,Morgan County,CO
37.88417,-103.72126,Otero County,CO
38.154731,-107.78848,Ouray County,CO
39.118914,-105.717648,Park County,CO
40.594712,-102.345105,Phillips County,CO
39.217538,-106.916159,Pitkin County,CO
37.958181,-102.392161,Prowers County,CO
38.170658,-104.489892,Pueblo County,CO
39.972622,-108.200716,Rio Blanco County,CO
37.485853,-106.453128,Rio Grande County,CO
40.483664,-106.987702,Routt County,CO
38.031651,-106.234666,Saguache County,CO
37.781049,-107.670257,San Juan County,CO
38.009319,-108.427263,San Miguel County,CO
40.871568,-102.355358,Sedgwick County,CO
39.621023,-106.137555,Summit County,CO
38.869976,-105.187365,Teller County,CO
39.96579,-103.209744,Washington County,CO
40.555961,-104.383666,Weld County,CO
40.00077,-102.421649,Yuma County,CO
41.227413,-73.367061,Fairfield County,CT
41.806053,-72.732916,Hartford County,CT
41.791883,-73.235404,Litchfield County,CT
41.433003,-72.52278,Middlesex County,CT
41.349718,-72.900203,New Haven County,CT
41.472652,-72.108634,New London County,CT
41.858081,-72.340978,Tolland County,CT
41.824999,-71.990702,Windham County,CT
39.097088,-75.502982,Kent County,DE
39.575915,-75.644132,New Castle County,DE
38.673227,-75.337024,Sussex County,DE
38.904247,-77.016517,District of Columbia,DC
29.67574,-82.357221,Alachua County,FL
30.324442,-82.302284,Baker County,FL
30.238218,-85.63168,Bay County,FL
29.952386,-82.166679,Bradford County,FL
28.298311,-80.700333,Brevard County,FL
26.193535,-80.476683,Broward County,FL
30.388801,-85.197915,Calhoun County,FL
26.868974,-81.941278,Charlotte County,FL
28.84364,-82.52481,Citrus County,FL
29.986584,-81.865036,Clay County,FL
26.118786,-81.400955,Collier County,FL
30.221651,-82.623371,Columbia County,FL
27.190581,-81.806253,DeSoto County,FL
29.580899,-83.195666,Dixie County,FL
30.335245,-81.648113,Duval County,FL
30.611638,-87.3389,Escambia County,FL
29.474891,-81.286253,Flagler County,FL
29.810176,-84.799174,Franklin County,FL
30.578687,-84.612607,Gadsden County,FL
29.723456,-82.795801,Gilchrist County,FL
26.95481,-81.19082,Glades County,FL
29.907257,-85.256537,Gulf County,FL
30.491187,-82.951071,Hamilton County,FL
27.492846,-81.82158,Hardee County,FL
26.539967,-81.152114,Hendry County,FL
28.573043,-82.466227,Hernando County,FL
27.34108,-81.342353,Highlands County,FL
27.906607,-82.349719,Hillsborough County,FL
30.862007,-85.815939,Holmes County,FL
27.700528,-80.574789,Indian River County,FL
30.789249,-85.208814,Jackson County,FL
30.424558,-83.890859,Jefferson County,FL
29.990066,-83.17851,Lafayette County,FL
28.764113,-81.712282,Lake County,FL
26.559035,-81.891994,Lee County,FL
30.45931,-84.2778,Leon County,FL
29.284457,-82.783462,Levy County,FL
30.259849,-84.86858,Liberty County,FL
30.447233,-83.470416,Madison County,FL
27.481682,-82.368767,Manatee County,FL
29.202805,-82.0431,Marion County,FL
27.083604,-80.398201,Martin County,FL
25.61058,-80.497099,Miami-Dade County,FL
24.768883,-80.95327,Monroe County,FL
30.605963,-81.765087,Nassau County,FL
30.665851,-86.594187,Okaloosa County,FL
27.385592,-80.887388,Okeechobee County,FL
28.514391,-81.323284,Orange County,FL
28.059027,-81.139312,Osceola County,FL
26.649126,-80.448354,Palm Beach County,FL
28.307711,-82.464832,Pasco County,FL
27.903108,-82.739519,Pinellas County,FL
27.953649,-81.693534,Polk County,FL
29.593896,-81.732039,Putnam County,FL
29.890487,-81.40004,St. Johns County,FL
27.379814,-80.443536,St. Lucie County,FL
30.701269,-87.01289,Santa Rosa County,FL
27.184386,-82.365835,Sarasota County,FL
28.690092,-81.131989,Seminole County,FL
28.714101,-82.074347,Sumter County,FL
30.189244,-82.992754,Suwannee County,FL
30.009908,-83.609483,Taylor County,FL
30.05428,-82.366918,Union County,FL
29.057769,-81.161792,Volusia County,FL
