,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
675,OR,Lake County,2429,125297,183,8812,206,7900,23,0.9470000000000001
1749,MO,Pike County,5845,300165,337,14248,324,15364,-13,-0.222
81,ID,Canyon County,66550,3591204,5521,246231,7635,368984,2114,3.177
2317,KY,Elliott County,1718,75819,93,2968,80,2280,-13,-0.757
2980,WY,Niobrara County,863,48165,56,3282,20,892,-36,-4.171
2083,NY,Orange County,142068,11521426,9433,591864,8678,553850,-755,-0.531
201,KS,Decatur County,1110,45410,39,1869,64,2181,25,2.252
722,MN,Kittson County,1748,107957,57,2432,72,3034,15,0.858
852,AL,Geneva County,7763,365052,535,22327,587,24270,52,0.67
516,IA,Howard County,3661,195280,165,8250,209,9224,44,1.202
2327,IL,Adams County,25580,1683865,1088,48162,892,39405,-196,-0.7659999999999999
1084,NY,Saratoga County,92707,10060047,6895,655521,7266,780689,371,0.4
2113,IA,Worth County,2865,168314,193,6875,177,6868,-16,-0.5579999999999999
1506,NE,Dundy County,647,28832,-1,-1,-1,-1,0,0.0
1987,WV,Greenbrier County,12039,619196,654,28573,601,27931,-53,-0.44
1293,MN,Big Stone County,2028,105405,96,4008,100,5123,4,0.19699999999999998
239,GA,White County,8672,478255,750,29515,926,48303,176,2.03
626,TX,Coleman County,2742,144390,175,6368,203,10397,28,1.021
631,NM,Eddy County,18166,1523348,1254,80993,1438,84245,184,1.013
628,ID,Bonneville County,37389,2960254,2882,146563,3263,172875,381,1.0190000000000001
494,OH,Warren County,83398,8418367,6958,556336,7996,600989,1038,1.245
1379,HI,Kauai County,28610,2144446,1377,77276,1412,100207,35,0.122
2355,CA,Monterey County,153085,11671143,9275,867995,8057,595097,-1218,-0.7959999999999999
441,MT,Mineral County,1460,80378,139,6104,159,7507,20,1.37
2613,KS,Thomas County,2846,164805,232,9399,198,9487,-34,-1.195
1127,WV,Braxton County,4214,207685,175,7144,190,7228,15,0.35600000000000004
2892,ND,Mercer County,3216,269429,245,15576,174,12573,-71,-2.208
1648,CA,Mendocino County,30616,1834542,1819,104702,1782,112445,-37,-0.121
883,WI,Rusk County,5309,254064,305,11472,339,15202,34,0.64
1310,TX,Reagan County,1092,84244,85,4862,87,4052,2,0.183
160,VA,Richmond County,2776,154696,192,7054,262,12344,70,2.522
1238,NE,Harlan County,1212,58819,63,2546,66,2534,3,0.248
2868,OK,Jackson County,7776,430049,944,46340,781,34548,-163,-2.096
2634,MS,Walthall County,4388,195228,305,11414,251,10592,-54,-1.2309999999999999
2410,TX,Victoria County,31584,2092373,2099,114108,1827,89252,-272,-0.861
2216,NC,Duplin County,16414,740842,1069,38095,963,34907,-106,-0.6459999999999999
2823,MO,Johnson County,16615,967856,2222,96511,1921,84551,-301,-1.8119999999999998
621,MO,Cedar County,4347,175161,334,12052,379,14517,45,1.035
266,OR,Columbia County,18175,1243566,1276,70088,1626,87082,350,1.926
1107,PA,Monroe County,60121,3684696,4283,213540,4506,250461,223,0.371
484,TN,McMinn County,17226,927755,1131,41368,1349,54859,218,1.266
1026,KS,Wabaunsee County,2517,151395,137,6503,149,7746,12,0.47700000000000004
1493,TX,Young County,5956,409802,374,20160,374,19229,0,0.0
2865,TX,Refugio County,2348,117758,215,9476,166,7988,-49,-2.0869999999999997
2724,IA,Johnson County,49874,4380931,4919,289521,4194,228449,-725,-1.454
2833,TX,Yoakum County,2699,195927,204,11190,154,7012,-50,-1.8530000000000002
2982,KS,Seward County,7271,370701,694,29721,384,13756,-310,-4.263999999999999
785,ID,Bear Lake County,2011,107171,119,6313,134,6926,15,0.746
2507,KY,Christian County,20792,1066215,3671,129429,3463,115877,-208,-1.0
544,VA,Bland County,2069,109561,93,4138,117,4663,24,1.16
1993,MN,Koochiching County,4725,263376,209,11497,188,8271,-21,-0.444
2158,KY,Fleming County,4808,221915,294,10174,265,9472,-29,-0.603
1591,IA,Benton County,9616,682239,611,29462,604,28781,-7,-0.073
492,WA,Garfield County,718,39004,53,2640,62,2802,9,1.253
253,IN,Hancock County,28337,2210812,2360,142147,2917,172937,557,1.966
2854,ND,Emmons County,1335,67843,57,2769,30,1557,-27,-2.022
1051,ID,Washington County,3233,146637,270,10155,284,14129,14,0.433
1401,OK,Craig County,4112,193451,327,13388,331,9836,4,0.09699999999999999
2072,AL,Clay County,4435,232317,273,10205,250,10108,-23,-0.519
2994,CA,Alpine County,336,21089,49,1595,23,1877,-26,-7.7379999999999995
1800,NJ,Gloucester County,109819,9287288,7063,439797,6763,386625,-300,-0.273
1802,OH,Erie County,30844,1899165,1950,92727,1865,86167,-85,-0.276
1781,MN,Clay County,21820,1445028,2051,97610,1996,86873,-55,-0.252
858,VA,Grayson County,4956,220241,302,11301,335,11586,33,0.6659999999999999
2515,IL,Richland County,5913,318411,324,13407,264,10168,-60,-1.015
1249,MO,Bollinger County,3770,170013,253,9045,262,9519,9,0.239
897,OR,Polk County,26924,1914624,3053,154119,3222,149562,169,0.628
1634,WY,Laramie County,37457,2658257,3187,168850,3148,169359,-39,-0.10400000000000001
2479,WI,Grant County,18178,975965,1182,49652,1007,41075,-175,-0.963
982,TN,Hamilton County,128083,9905434,8094,456723,8772,560766,678,0.529
1875,MO,St. Louis County,387097,40987838,26482,1840109,25165,1582118,-1317,-0.34
311,CA,San Benito County,21706,1732592,1529,109869,1910,142750,381,1.755
1902,TX,Garza County,1368,83002,81,3931,76,3568,-5,-0.365
873,FL,Holmes County,5118,228295,428,15004,461,19636,33,0.645
732,FL,Jefferson County,4544,250563,352,14751,390,22139,38,0.836
677,TX,Upton County,1061,89331,84,5085,94,4374,10,0.943
919,OK,Grady County,16263,1167816,1375,64779,1473,80317,98,0.603
1387,IN,Orange County,6833,329306,361,14763,369,12836,8,0.11699999999999999
2555,VT,Chittenden County,67272,5835074,5157,305322,4426,275094,-731,-1.087
2323,TX,Harris County,1519470,120110671,93935,6744329,82339,5181538,-11596,-0.763
180,TX,Collin County,321347,38127439,33175,2801762,40818,3422375,7643,2.378
2399,NY,Chautauqua County,45935,2450941,1909,83373,1520,66570,-389,-0.847
1357,MN,Pipestone County,3572,212049,182,7823,187,6929,5,0.14
193,WA,Island County,31547,2472699,3691,221091,4411,277615,720,2.282
2442,CA,Los Angeles County,3732877,330740878,154210,11436416,120440,8511638,-33770,-0.905
2138,WV,Monroe County,4335,203441,241,9547,216,9766,-25,-0.5770000000000001
2717,WY,Carbon County,5280,385692,511,30348,435,20870,-76,-1.439
1643,VA,Campbell County,19471,1165334,1721,67907,1698,69489,-23,-0.11800000000000001
181,GA,Harris County,10892,870382,929,57762,1187,108736,258,2.369
772,NC,Beaufort County,16018,886734,935,40788,1057,61236,122,0.762
2987,MT,Garfield County,406,20403,20,228,-1,-1,-21,-5.172000000000001
2691,WV,Tyler County,3039,202941,195,8067,153,5729,-42,-1.382
678,IN,Harrison County,14526,881057,928,44678,1065,50439,137,0.943
662,IN,Ripley County,10540,650165,705,34189,807,34871,102,0.968
2074,CO,Otero County,5954,268394,409,16880,378,15130,-31,-0.521
735,IA,Dickinson County,7095,588907,491,33896,550,37610,59,0.8320000000000001
1110,KY,Montgomery County,8965,484109,683,25859,716,27478,33,0.368
2489,OH,Allen County,37524,2240492,2192,100147,1826,78006,-366,-0.975
1392,IN,Pulaski County,4567,254912,311,12506,316,10763,5,0.109
1853,WV,Wirt County,1847,86543,87,3367,81,2936,-6,-0.325
2401,MN,Chippewa County,4694,287301,321,13456,281,11793,-40,-0.852
2799,GA,Glascock County,808,40933,56,1761,42,1712,-14,-1.733
1864,IN,Dearborn County,19162,1326993,1284,64128,1220,61752,-64,-0.33399999999999996
2975,KS,Riley County,17885,1247928,3693,165529,3038,131431,-655,-3.662
2199,KY,Union County,4577,249589,251,9762,222,7340,-29,-0.634
2744,MT,Richland County,4284,329684,347,21333,282,15933,-65,-1.517
2906,OK,Alfalfa County,1543,113936,108,5559,72,3299,-36,-2.333
22,CO,Huerfano County,2032,93385,203,8365,293,14498,90,4.428999999999999
2730,NE,Frontier County,888,33201,66,2410,53,1992,-13,-1.464
1318,OH,Vinton County,4076,194430,240,7626,247,8984,7,0.172
931,IN,Switzerland County,3254,157453,227,9548,246,11523,19,0.584
2638,IN,Tippecanoe County,58397,4388178,5063,246847,4339,211874,-724,-1.24
2352,IL,Sangamon County,79580,6127960,4114,229595,3482,167786,-632,-0.794
1939,MD,Baltimore County,315424,28755994,24263,1548545,23007,1269972,-1256,-0.39799999999999996
529,GA,Pierce County,5750,322783,416,15488,484,20169,68,1.183
2088,IL,Pike County,5599,295177,233,8958,203,7685,-30,-0.536
2463,TX,Marion County,2995,139390,308,11388,280,12645,-28,-0.935
2539,MN,Rock County,3579,223448,203,8500,165,6990,-38,-1.062
2777,TX,Gray County,6530,368197,500,25917,394,15844,-106,-1.6230000000000002
2575,AR,Lee County,2144,123622,169,4454,145,3706,-24,-1.119
298,KS,Lane County,660,28969,28,1268,40,1423,12,1.818
704,MI,Oscoda County,2807,123042,208,6632,233,11444,25,0.8909999999999999
2439,AR,Scott County,3016,123584,216,6808,189,7473,-27,-0.895
1704,MN,Lincoln County,2170,126273,128,5213,124,5514,-4,-0.184
1551,MS,Prentiss County,7460,348772,429,14367,426,12632,-3,-0.04
1579,AL,Chambers County,10758,550450,792,33311,785,27038,-7,-0.065
991,MS,Pearl River County,16311,860103,1100,47488,1185,53265,85,0.521
904,IN,Clay County,9384,511923,646,25509,704,29296,58,0.618
206,MT,Jefferson County,4268,319877,373,20265,467,34891,94,2.202
1384,PA,Franklin County,62269,3849548,2863,151141,2937,147209,74,0.11900000000000001
2270,KS,Wyandotte County,52603,2472257,5306,230777,4937,196553,-369,-0.701
813,PA,Pike County,20866,1412351,1693,105559,1842,135397,149,0.7140000000000001
2456,NE,Loup County,217,7019,23,831,21,1365,-2,-0.922
1900,MA,Essex County,313172,31622947,17101,1307782,15962,1260065,-1139,-0.364
1958,MN,Marshall County,3610,221492,185,8990,170,7372,-15,-0.41600000000000004
256,KY,Simpson County,6356,329602,461,17344,585,20412,124,1.9509999999999998
2631,MA,Nantucket County,5544,615699,463,33271,395,35978,-68,-1.227
1326,MO,Carter County,1817,72075,124,3545,127,3668,3,0.165
2105,SC,Fairfield County,7621,361776,500,21213,458,26014,-42,-0.551
348,TN,Fentress County,5482,242125,307,11364,395,20115,88,1.605
1525,IA,Lyon County,4218,285299,161,6966,161,7124,0,0.0
2538,IA,Davis County,2838,148986,159,8299,129,6003,-30,-1.057
208,MO,Benton County,6325,274766,497,16432,636,30900,139,2.198
2635,IL,Clark County,5924,359125,331,13878,258,11689,-73,-1.232
2511,IN,Jay County,7529,353918,400,12801,324,10297,-76,-1.0090000000000001
2991,KS,Greeley County,482,26103,31,1638,-1,-1,-32,-6.638999999999999
1670,ND,Ransom County,2102,136821,101,4319,98,4848,-3,-0.14300000000000002
2861,SD,Sully County,578,35173,32,1351,20,1061,-12,-2.076
2099,KY,Rowan County,6595,350064,608,19700,572,19923,-36,-0.546
1870,IN,Posey County,9530,709841,642,33119,610,33916,-32,-0.336
764,WA,Benton County,68388,5414669,5338,331343,5870,324704,532,0.778
