State,County Name,Median Home Price 2017
GA,Taliaferro County,62905
GA,Tattnall County,93772
GA,Taylor County,70036
GA,Telfair County,59179
GA,Terrell County,88177
GA,Thomas County,139859
GA,Tift County,119423
GA,Toombs County,103777
GA,Towns County,210640
GA,Treutlen County,75571
GA,Troup County,149226
GA,Turner County,77380
GA,Twiggs County,60335
GA,Union County,204147
GA,Upson County,90366
GA,Walker County,129765
GA,Walton County,209855
GA,Ware County,83554
GA,Warren County,66311
GA,Washington County,87705
GA,Wayne County,114208
GA,Webster County,60882
GA,Wheeler County,49813
GA,White County,168065
GA,Whitfield County,146749
GA,Wilcox County,74293
GA,Wilkes County,88769
GA,Wilkinson County,73548
GA,Worth County,85191
HI,Hawaii County,375676
HI,Honolulu County,709056
HI,Kauai County,610800
HI,Maui County,698944
ID,Ada County,306780
ID,Adams County,183250
ID,Bannock County,174426
ID,Bear Lake County,156396
ID,Benewah County,165971
ID,Bingham County,162229
ID,Blaine County,429565
ID,Boise County,221470
ID,Bonner County,245104
ID,Bonneville County,193546
ID,Boundary County,199539
ID,Butte County,121837
ID,Camas County,190734
ID,Canyon County,212138
ID,Caribou County,143739
ID,Cassia County,150672
ID,Clark County,108629
ID,Clearwater County,147921
ID,Custer County,190734
ID,Elmore County,159807
ID,Franklin County,183802
ID,Fremont County,173565
ID,Gem County,178038
ID,Gooding County,147921
ID,Idaho County,181159
ID,Jefferson County,188224
ID,Jerome County,158927
ID,Kootenai County,304918
ID,Latah County,228045
ID,Lemhi County,190844
ID,Lewis County,132072
ID,Lincoln County,139997
ID,Madison County,209665
ID,Minidoka County,134053
ID,Nez Perce County,187292
ID,Oneida County,166851
ID,Owyhee County,150399
ID,Payette County,152874
ID,Power County,147412
ID,Shoshone County,129321
ID,Teton County,320935
ID,Twin Falls County,178628
ID,Valley County,283955
ID,Washington County,164100
IL,Adams County,130976
IL,Alexander County,54352
IL,Bond County,122300
IL,Boone County,156173
IL,Brown County,90518
IL,Bureau County,109113
IL,Calhoun County,117735
IL,Carroll County,101552
IL,Cass County,78463
IL,Champaign County,176498
IL,Christian County,89395
IL,Clark County,89293
IL,Clay County,78872
IL,Clinton County,151707
IL,Coles County,95831
IL,Cook County,260542
IL,Crawford County,84695
IL,Cumberland County,96035
IL,DeKalb County,178675
IL,De Witt County,100122
IL,Douglas County,104924
IL,DuPage County,324941
IL,Edgar County,81732
IL,Edwards County,75092
IL,Effingham County,140273
IL,Fayette County,85819
IL,Ford County,104939
IL,Franklin County,71414
IL,Fulton County,86636
IL,Gallatin County,73048
IL,Greene County,78565
IL,Grundy County,198142
IL,Hamilton County,93481
IL,Hancock County,86943
IL,Hardin County,64568
IL,Henderson County,90008
IL,Henry County,119651
IL,Iroquois County,98896
IL,Jackson County,110952
IL,Jasper County,101144
IL,Jefferson County,94707
IL,Jersey County,143745
IL,Jo Daviess County,146403
IL,Johnson County,98692
IL,Kane County,249599
IL,Kankakee County,161670
IL,Kendall County,251703
IL,Knox County,83469
IL,Lake County,276326
IL,LaSalle County,138230
IL,Lawrence County,73968
IL,Lee County,119023
IL,Livingston County,111871
IL,Logan County,103493
IL,McDonough County,96648
IL,McHenry County,239812
IL,McLean County,167069
IL,Macon County,96003
IL,Macoupin County,104464
IL,Madison County,139710
IL,Marion County,73457
IL,Marshall County,101865
IL,Mason County,82754
IL,Massac County,84286
IL,Menard County,134724
IL,Mercer County,108595
IL,Monroe County,207549
IL,Montgomery County,82754
IL,Morgan County,105639
IL,Moultrie County,109828
IL,Ogle County,142929
IL,Peoria County,129082
IL,Perry County,82243
IL,Piatt County,133625
IL,Pike County,76318
IL,Pope County,85921
IL,Pulaski County,64875
IL,Putnam County,123416
IL,Randolph County,102063
IL,Richland County,85002
IL,Rock Island County,121200
IL,St. Clair County,136419
IL,Saline County,72027
IL,Sangamon County,142452
IL,Schuyler County,85206
IL,Scott County,89395
IL,Shelby County,88680
IL,Stark County,84411
IL,Stephenson County,99816
IL,Tazewell County,138450
IL,Union County,100735
IL,Vermilion County,76440
IL,Wabash County,80711
IL,Warren County,85717
IL,Washington County,110441
IL,Wayne County,80302
IL,White County,71209
IL,Whiteside County,104413
IL,Will County,242338
IL,Williamson County,129341
IL,Winnebago County,126804
IL,Woodford County,158073
IN,Adams County,127800
IN,Allen County,147076
IN,Bartholomew County,156045
IN,Benton County,92669
IN,Blackford County,73628
IN,Boone County,242963
IN,Brown County,191651
IN,Carroll County,135456
IN,Cass County,90395
IN,Clark County,147272
IN,Clay County,104076
IN,Clinton County,111462
IN,Crawford County,93190
IN,Daviess County,124038
IN,Dearborn County,173457
IN,Decatur County,130917
IN,DeKalb County,122104
IN,Delaware County,100461
IN,Dubois County,156929
IN,Elkhart County,154876
IN,Fayette County,87493
IN,Floyd County,183232
IN,Fountain County,100499
IN,Franklin County,164181
IN,Fulton County,100606
IN,Gibson County,111515
IN,Grant County,107056
IN,Greene County,107027
IN,Hamilton County,292191
IN,Hancock County,175972
IN,Harrison County,146414
IN,Hendricks County,204698
IN,Henry County,101896
IN,Howard County,108941
IN,Huntington County,110388
IN,Jackson County,123178
IN,Jasper County,161208
IN,Jay County,91363
IN,Jefferson County,128983
IN,Jennings County,107378
IN,Johnson County,180577
IN,Knox County,93727
IN,Kosciusko County,166495
IN,LaGrange County,185412
IN,Lake County,154894
IN,LaPorte County,139943
IN,Lawrence County,117374
IN,Marion County,150646
IN,Marshall County,139839
IN,Martin County,105228
IN,Miami County,91900
IN,Monroe County,191734
IN,Montgomery County,127263
IN,Morgan County,179371
IN,Newton County,118380
IN,Noble County,123071
IN,Ohio County,153609
IN,Orange County,97167
IN,Owen County,122986
IN,Parke County,93190
IN,Perry County,110710
IN,Pike County,95985
IN,Porter County,199721
IN,Posey County,146437
IN,Pulaski County,99532
IN,Putnam County,131897
IN,Randolph County,85451
IN,Ripley County,149942
IN,Rush County,107485
IN,St. Joseph County,140149
IN,Scott County,106196
IN,Shelby County,137379
IN,Spencer County,126725
IN,Starke County,109205
IN,Steuben County,146503
IN,Sullivan County,87705
IN,Switzerland County,122856
IN,Tippecanoe County,163508
IN,Tipton County,121991
IN,Union County,118127
IN,Vanderburgh County,138946
IN,Vermillion County,80875
IN,Vigo County,101799
IN,Wabash County,103938
IN,Warren County,120921
IN,Warrick County,166798
IN,Washington County,113997
IN,Wayne County,113827
IN,Wells County,133705
IN,White County,113720
IN,Whitley County,145418
IA,Adair County,98435
IA,Adams County,89668
IA,Allamakee County,129697
IA,Appanoose County,82381
IA,Audubon County,72664
IA,Benton County,155504
IA,Black Hawk County,162020
IA,Boone County,137830
IA,Bremer County,163922
IA,Buchanan County,139942
IA,Buena Vista County,117340
IA,Butler County,118396
IA,Calhoun County,82170
IA,Carroll County,134556
IA,Cass County,98857
IA,Cedar County,151877
IA,Cerro Gordo County,128324
IA,Cherokee County,94210
IA,Chickasaw County,111003
IA,Clarke County,110897
IA,Clay County,122198
IA,Clayton County,123043
IA,Clinton County,118713
IA,Crawford County,98646
IA,Dallas County,258355
IA,Davis County,115228
IA,Decatur County,80585
IA,Delaware County,133077
IA,Des Moines County,107095
IA,Dickinson County,185780
IA,Dubuque County,176332
IA,Emmet County,90513
IA,Fayette County,95900
IA,Floyd County,108151
IA,Franklin County,91992
IA,Fremont County,105828
IA,Greene County,93893
IA,Grundy County,137289
IA,Guthrie County,119568
IA,Hamilton County,104455
IA,Hancock County,103082
IA,Hardin County,96428
IA,Harrison County,116842
IA,Henry County,113960
IA,Howard County,113749
IA,Humboldt County,99174
IA,Ida County,97062
IA,Iowa County,151982
IA,Jackson County,123571
IA,Jasper County,129697
IA,Jefferson County,120720
IA,Johnson County,240534
IA,Jones County,137513
IA,Keokuk County,88401
IA,Kossuth County,110158
IA,Lee County,95266
IA,Linn County,165815
IA,Louisa County,110052
IA,Lucas County,89668
IA,Lyon County,132232
IA,Madison County,170325
IA,Mahaska County,116284
IA,Marion County,155151
IA,Marshall County,110475
